,Unnamed: 0,content,recipient,sender,sentOnBehalfOf,session,block
845,419,"Structural Geologist: 37,36 is a little low on available water but it is still workable.",teamConstr,teamGeo,geo2,2104,1.0
845,419,Illinois time 6:48,teamConstr,teamGeo,geo2,2104,1.0
846,420,"How about 37,3?",vc3,vc1,vc1,2104,1.0
847,421,"Sedimentologist: how's 37,",teamGeo,teamGeo,geo3,2104,1.0
847,421,3 lookin' for y'all?,teamGeo,teamGeo,geo3,2104,1.0
848,422,Biochemical Engineer: very good\n,teamConstr,teamEng,eng1,2104,1.0
849,423,"how's 37,",con1,geo3,geo3,2104,1.0
849,423,3 lookin' for y'all?,con1,geo3,geo3,2104,1.0
850,424,"47,3 Sedimentologist,",eng2,con2,con2,2104,1.0
850,424,Hydrogeologist  and Martian Meteorology like,eng2,con2,con2,2104,1.0
851,425,15:49,con1,geo3,geo3,2104,1.0
852,426,Hydrogeologist: 37.3?\n,teamConstr,teamGeo,geo1,2104,1.0
853,427,Sedimentologist: 15:49\n,teamGeo,teamGeo,geo3,2104,1.0
854,428,"Drilling Specialist: 47,3 better?",teamEng,teamConstr,con2,2104,1.0
855,429,"Structural Geologist: The locations we have scouted so far are 37,36;",teamGeo,teamGeo,geo2,2104,1.0
855,429,"7,38;",teamGeo,teamGeo,geo2,2104,1.0
855,429,"20,44 // 6:49 Illinois time",teamGeo,teamGeo,geo2,2104,1.0
856,430,Structural Geologist: very ready to get this bread XD // 6:50 Illinois time,teamGeo,teamGeo,geo2,2104,1.0
857,431,"Drilling Specialist: 37,3 good\n",teamGeo,teamConstr,con2,2104,1.0
858,432,"Materials Specialist: We're thinking of 37,3",teamConstr,teamConstr,con3,2104,1.0
859,433,"We have 97% water loss @ 20,44 - sorry my dude",con1,geo3,geo3,2104,1.0
860,434,"37,3 is fine for me (sent 6:52)",geo3,con1,con1,2104,1.0
861,435,Hydrogeologist: 29.19?\n,teamGeo,teamGeo,geo1,2104,1.0
862,436,"Martian Meteorology Specialist: sedimentologist says 100% water loss at 7,38.",teamvc,teamvc,vc1,2104,1.0
862,436," 20,",teamvc,teamvc,vc1,2104,1.0
862,436,44 is very muddy water,teamvc,teamvc,vc1,2104,1.0
863,437,"Can you check the water loss in 10,47?",geo3,con3,con3,2104,1.0
864,438,"Sedimentologist: 37,",teamGeo,teamGeo,geo3,2104,1.0
864,438,"36 - Good for me,",teamGeo,teamGeo,geo3,2104,1.0
864,438,"Biochemical says bad\n7,38 - 100% water loss lmao\n20,44 - 97% water loss",teamGeo,teamGeo,geo3,2104,1.0
865,439,"Structural Geologist: 37,3 is looking quite desperate for amount of water available // 6:54 illinois time",teamGeo,teamGeo,geo2,2104,1.0
866,440,"Structural Geologist: 37,3 looks quite desperate for amount of water available...",teamConstr,teamGeo,geo2,2104,1.0
866,440,// 6:56 Illinois time,teamConstr,teamGeo,geo2,2104,1.0
867,441,"Operations Specialist: 37,3 doesn't really work for the structural geologist",teamConstr,teamConstr,con1,2104,1.0
868,442,pe pe,geo1,con2,con2,2104,1.0
869,443,"Structural Geologist: 29,19 is good!",teamGeo,teamGeo,geo2,2104,1.0
869,443,// 6:57 illinois time,teamGeo,teamGeo,geo2,2104,1.0
870,444,pi pi,con2,geo1,geo1,2104,1.0
871,445,"Martian Meteorology Specialist: What about 37,3?",teamvc,teamvc,vc1,2104,1.0
871,445,"there's a lot of water there,",teamvc,teamvc,vc1,2104,1.0
871,445,"and while it's slightly contaminated,",teamvc,teamvc,vc1,2104,1.0
871,445,it's workable.,teamvc,teamvc,vc1,2104,1.0
871,445,\n,teamvc,teamvc,vc1,2104,1.0
872,446,"37,3 is dirty but we can bet about 46,000 from it",con1,geo3,geo3,2104,1.0
873,447,"Martian Terrain Specialist: Yeah,",teamvc,teamvc,vc2,2104,1.0
873,447,"we're trying 29,19",teamvc,teamvc,vc2,2104,1.0
874,448,"Operations Specialist: hello materials specialist have you looked at 29,19",teamConstr,teamConstr,con1,2104,1.0
875,449,Operations Specialist: 6:59,teamConstr,teamConstr,con1,2104,1.0
876,450,"Materials Specialist: 37,3 works well for us",teamGeo,teamConstr,con3,2104,1.0
877,451,"Sedimentologist: I mean,",teamGeo,teamGeo,geo3,2104,1.0
877,451,"on our end we estimate about 46,000 from it based upon loss and filtration needs.",teamGeo,teamGeo,geo3,2104,1.0
877,451,WHat are you seeing?,teamGeo,teamGeo,geo3,2104,1.0
877,451,Hit that like button.,teamGeo,teamGeo,geo3,2104,1.0
877,451,13:59,teamGeo,teamGeo,geo3,2104,1.0
878,452,Fluid Engineer: that's a no go - 0 water available according to structural geologist,teamConstr,teamEng,eng3,2104,1.0
879,453,"Structural Geologist: lmao,",teamGeo,teamGeo,geo2,2104,1.0
879,453,"ok noted on the water loss for 37,36 and 7,38 ~ searching for more locations!",teamGeo,teamGeo,geo2,2104,1.0
879,453,// 7:00 Illinois time,teamGeo,teamGeo,geo2,2104,1.0
880,454,"Structural Geologist: oops sorry didn't mean to write 37,36 in the last message!",teamGeo,teamGeo,geo2,2104,1.0
880,454,"meant 7,38 and 20,44 // 7:01 illinois time",teamGeo,teamGeo,geo2,2104,1.0
881,455,"Martian Meteorology Specialist: Also,",teamvc,teamvc,vc1,2104,1.0
881,455,"29,19 is a great option among us!!!",teamvc,teamvc,vc1,2104,1.0
881,455,We LOVE this one!\n,teamvc,teamvc,vc1,2104,1.0
882,456,"Sedimentologist: 29,",teamGeo,teamGeo,geo3,2104,1.0
882,456,19 lookin fine but expensive.,teamGeo,teamGeo,geo3,2104,1.0
882,456,Looks like we can get something like 138k out of it 16:02,teamGeo,teamGeo,geo3,2104,1.0
883,457,"Materials Specialist: yes,",teamConstr,teamConstr,con3,2104,1.0
883,457,it works well for me,teamConstr,teamConstr,con3,2104,1.0
884,458,"Drilling Specialist: 29,19?\n",teamConstr,teamConstr,con2,2104,1.0
885,459,"29,19 lookin' aight.",con1,geo3,geo3,2104,1.0
885,459,We calculate 92k from it,con1,geo3,geo3,2104,1.0
886,460,Sedimentologist: correction 92k 16:03,teamGeo,teamGeo,geo3,2104,2.0
887,461,Sedimentologist: correction 92k 16:03,teamGeo,teamGeo,geo3,2104,2.0
888,462,Sedimentologist: correction 92k 16:03,teamGeo,teamGeo,geo3,2104,2.0
889,463,Sedimentologist: correction 92k 16:03,teamGeo,teamGeo,geo3,2104,2.0
890,464,Sedimentologist: correction 92k 16:03,teamGeo,teamGeo,geo3,2104,2.0
891,465,Drilling Specialist: 29/19 not bad,teamConstr,teamConstr,con2,2104,2.0
892,466,"Materials Specialist: check for 29,19 ..",teamEng,teamConstr,con3,2104,2.0
892,466,it works well for us,teamEng,teamConstr,con3,2104,2.0
893,467,"Martian Meteorology Specialist: Use hygiene = 1,",teamvc,teamvc,vc1,2104,2.0
893,467,"usability = 1,",teamvc,teamvc,vc1,2104,2.0
893,467,"Maintenence = 3,",teamvc,teamvc,vc1,2104,2.0
893,467,fundraising = 5,teamvc,teamvc,vc1,2104,2.0
894,468,"Hydrogeologist: Thanks for the translation,",teamGeo,teamGeo,geo1,2104,2.0
894,468,Sedimentologist!\n,teamGeo,teamGeo,geo1,2104,2.0
895,469,Sedimentologist: @AlphaStructuralGeology - ?,teamGeo,teamGeo,geo3,2104,2.0
895,469,???,teamGeo,teamGeo,geo3,2104,2.0
895,469,???,teamGeo,teamGeo,geo3,2104,2.0
895,469,???,teamGeo,teamGeo,geo3,2104,2.0
895,469,???????,teamGeo,teamGeo,geo3,2104,2.0
895,469,??-??????,teamGeo,teamGeo,geo3,2104,2.0
895,469,???,teamGeo,teamGeo,geo3,2104,2.0
895,469,????,teamGeo,teamGeo,geo3,2104,2.0
896,470,Sedimentologist: Just checkin',teamGeo,teamGeo,geo3,2104,2.0
897,471,"Martian Meteorology Specialist: oops,",teamvc,teamvc,vc1,2104,2.0
897,471,"sorry,",teamvc,teamvc,vc1,2104,2.0
897,471,I did not mean that.,teamvc,teamvc,vc1,2104,2.0
897,471," For 29,19,",teamvc,teamvc,vc1,2104,2.0
897,471,"I meant,",teamvc,teamvc,vc1,2104,2.0
897,471,"Hygiene = 1,",teamvc,teamvc,vc1,2104,2.0
897,471,"usability = 4,",teamvc,teamvc,vc1,2104,2.0
897,471,"maintenence,",teamvc,teamvc,vc1,2104,2.0
897,471,"1,",teamvc,teamvc,vc1,2104,2.0
897,471,fundraising 1\n,teamvc,teamvc,vc1,2104,2.0
898,472,Hydrogeologist: and?\n,teamGeo,teamGeo,geo1,2104,2.0
899,473,Operations Specialist: ok I need to know what drilling method you guys chose for that location,teamConstr,teamConstr,con1,2104,2.0
900,474,"Sedimentologist: 29,19 is looking like a go for us.",teamGeo,teamGeo,geo3,2104,2.0
900,474,How about y'all?,teamGeo,teamGeo,geo3,2104,2.0
901,475,Fluid Engineer: temperature is a bit high I think,teamConstr,teamEng,eng3,2104,2.0
902,476,"29,19 is lookin' like a go from us.",con1,geo3,geo3,2104,2.0
902,476,How it be lookin' for y'all?,con1,geo3,geo3,2104,2.0
903,477,"Structural Geologist: in regards to ur last msg (the one that has 46,000),",teamGeo,teamGeo,geo2,2104,2.0
903,477,"assuming u are referencing the 37,3 location,",teamGeo,teamGeo,geo2,2104,2.0
903,477,it says 130k available water which is considered a very poor option.,teamGeo,teamGeo,geo2,2104,2.0
903,477,Im looking for values around 300k // 7:07 illinois time,teamGeo,teamGeo,geo2,2104,2.0
904,478,"Mechanical Engineer: There are 13 minuted left,",teamConstr,teamEng,eng2,2104,2.0
904,478,"are there any definite nos for 8,47",teamConstr,teamEng,eng2,2104,2.0
905,479,Fluid Engineer: almost 58 out of 60,teamConstr,teamEng,eng3,2104,2.0
906,480,Fluid Engineer: meaning pipes may not be able to resist the temp,teamConstr,teamEng,eng3,2104,2.0
907,481,Sedimentologist: 16:07,teamGeo,teamGeo,geo3,2104,2.0
908,482,Hydrogeologist: good for us too,teamGeo,teamGeo,geo1,2104,2.0
909,483,"hey just to let you know,",eng1,eng3,eng3,2104,2.0
909,483,there's about 13 minutes left,eng1,eng3,eng3,2104,2.0
910,484,Hydrogeologist: )),teamGeo,teamGeo,geo1,2104,2.0
911,485,Biochemical Engineer: 40% loss water,teamConstr,teamEng,eng1,2104,2.0
912,486,Structural Geologist: also fyi we have 15mins left // 7:08 Illinois time,teamGeo,teamGeo,geo2,2104,2.0
913,487,"Martian Meteorology Specialist: The assumption I'm going by based on how I understand everything in my description,",teamvc,teamvc,vc1,2104,2.0
913,487,"is that when the data tells me it's zero near a safety zone,",teamvc,teamvc,vc1,2104,2.0
913,487,that means there is no risk of dust storms really.,teamvc,teamvc,vc1,2104,2.0
913,487,Just wanted to clarify that so everyone understands my thought process.,teamvc,teamvc,vc1,2104,2.0
913,487,,teamvc,teamvc,vc1,2104,2.0
914,488,Structural Geologist: haha correction* 10 mins left // 7:09 illinois time,teamGeo,teamGeo,geo2,2104,2.0
915,489,"29,19 works fine for us.",geo3,con1,con1,2104,2.0
915,489,"however some people feel like 8,47 works better,",geo3,con1,con1,2104,2.0
915,489,"but we can make 29,19 work",geo3,con1,con1,2104,2.0
916,490,"Mechanical Engineer: 8,47 and 29,19 are workable,",teamConstr,teamEng,eng2,2104,2.0
916,490,8/47 is more preferable for us as 29/19 has a very high temperature,teamConstr,teamEng,eng2,2104,2.0
917,491,"Sedimentologist: Sorry,",teamGeo,teamGeo,geo3,2104,2.0
917,491,that's the calculated amount - the good water.,teamGeo,teamGeo,geo3,2104,2.0
917,491,"29,19 has 326,587 but when we chop it up we end up having a usable amount that's lower.",teamGeo,teamGeo,geo3,2104,2.0
917,491,But if you're just lookin' at the amount - thats 326k.,teamGeo,teamGeo,geo3,2104,2.0
917,491,16:11,teamGeo,teamGeo,geo3,2104,2.0
918,492,Martian Terrain Specialist: That looks good for me.,teamvc,teamvc,vc2,2104,2.0
918,492,Mechanical engineer is doubtful because of high temperature,teamvc,teamvc,vc2,2104,2.0
919,493,"Sedimentologist: Yeah,",teamGeo,teamGeo,geo3,2104,2.0
919,493,"37,3 isn't very good compared to 29,19 so we can move on from it.",teamGeo,teamGeo,geo3,2104,2.0
920,494,"Sedimentologist: I feel like we're all good to go with 29,19 on this end.",teamGeo,teamGeo,geo3,2104,2.0
920,494,So let me know how y'all are feelin' about that.,teamGeo,teamGeo,geo3,2104,2.0
921,495,"Structural Geologist: our engineering team says that the temp is a lil high at 29,19,",teamGeo,teamGeo,geo2,2104,2.0
921,495,but that it is definitely still a fair option.,teamGeo,teamGeo,geo2,2104,2.0
921,495,// 7:12 Illinois time,teamGeo,teamGeo,geo2,2104,2.0
922,496,Drilling Specialist: Vehicle Drill,teamConstr,teamConstr,con2,2104,2.0
923,497,"Structural Geologist: going to attempt putting in 29,19 into the sign off sheet!",teamGeo,teamGeo,geo2,2104,2.0
923,497,// 7:13 illinois time,teamGeo,teamGeo,geo2,2104,2.0
924,498,"Martian Terrain Specialist: Yeah,",teamvc,teamvc,vc2,2104,2.0
924,498,makes sense.,teamvc,teamvc,vc2,2104,2.0
924,498,"I think we're going with 29,19",teamvc,teamvc,vc2,2104,2.0
925,499,"Ok,",con1,geo3,geo3,2104,2.0
925,499,"cool,",con1,geo3,geo3,2104,2.0
925,499,"because 8,47 has 100% water loss.",con1,geo3,geo3,2104,2.0
925,499,Ok.,con1,geo3,geo3,2104,2.0
925,499,Let's move ahead?,con1,geo3,geo3,2104,2.0
926,500,"Sedimentologist: We're solid with 29,19.",teamGeo,teamGeo,geo3,2104,2.0
926,500,Time to rock?,teamGeo,teamGeo,geo3,2104,2.0
927,501,Operations Specialist: Hello I need to know what values you guys put in,teamConstr,teamConstr,con1,2104,2.0
928,502,"Structural Geologist: copy that on 37,3 // 7:15 Illinois time",teamGeo,teamGeo,geo2,2104,2.0
929,503,Martian Meteorology Specialist: I see.,teamvc,teamvc,vc1,2104,2.0
929,503,I think that's the spot that the majority is good with though.,teamvc,teamvc,vc1,2104,2.0
929,503,Let's go with it.,teamvc,teamvc,vc1,2104,2.0
930,504,"Sedimentologist: Party up then,",teamGeo,teamGeo,geo3,2104,2.0
930,504,we're ready to rock.,teamGeo,teamGeo,geo3,2104,2.0
930,504,Moving to signoff phase.,teamGeo,teamGeo,geo3,2104,2.0
931,505,"Materials Specialist: 8,47 the loss of water is very high ",teamEng,teamConstr,con3,2104,2.0
932,506,"Structural Geologist: we also all are feeling good about 29,19,",teamGeo,teamGeo,geo2,2104,2.0
932,506,so also make sure to change yalls values in the sign off sheet!,teamGeo,teamGeo,geo2,2104,2.0
932,506,// 7:16 Illinois time,teamGeo,teamGeo,geo2,2104,2.0
933,507,"Sedimentologist: Rather,",teamGeo,teamGeo,geo3,2104,2.0
933,507,we're in there handling business.,teamGeo,teamGeo,geo3,2104,2.0
933,507,But we'll be moving forward with filling in our info.,teamGeo,teamGeo,geo3,2104,2.0
934,508,"I think 29,19 is decided,",eng1,eng2,eng2,2104,2.0
934,508,please put in filter info in sign off area!,eng1,eng2,eng2,2104,2.0
935,509,"We're filling in our info for 29,19.",con1,geo3,geo3,2104,2.0
935,509,Lookin' mad fresh.,con1,geo3,geo3,2104,2.0
936,510,Sedimentologist: You are our hero @BigStructuralKing,teamGeo,teamGeo,geo3,2104,2.0
937,511,ok,eng2,eng1,eng1,2104,2.0
938,512,Biochemical Engineer: no,teamConstr,teamEng,eng1,2104,2.0
939,513,Structural Geologist: *sunglasses emoji*,teamGeo,teamGeo,geo2,2104,2.0
940,514,Structural Geologist: love y'all,teamGeo,teamGeo,geo2,2104,2.0
941,515,"Sedimentologist: Waddup boiz,",teamGeo,teamGeo,geo3,2105,0.0
941,515,we out here 15:29 Moscow\n,teamGeo,teamGeo,geo3,2105,0.0
942,516,Materials Specialist: Hello everyone ..\n,teamConstr,teamConstr,con3,2105,0.0
943,517,Hydrogeologist: ??????,teamGeo,teamGeo,geo1,2105,0.0
943,517,??????!,teamGeo,teamGeo,geo1,2105,0.0
943,517,15:31,teamGeo,teamGeo,geo1,2105,0.0
944,518,"Sedimentologist: 17,",teamGeo,teamGeo,geo3,2105,0.0
944,518,"38 - OK,",teamGeo,teamGeo,geo3,2105,0.0
944,518,"214642.25 Available,",teamGeo,teamGeo,geo3,2105,0.0
944,518,"?42,928.45?",teamGeo,teamGeo,geo3,2105,0.0
944,518,"After loss (MM-OK,",teamGeo,teamGeo,geo3,2105,0.0
944,518,"MS-DEEP,",teamGeo,teamGeo,geo3,2105,0.0
944,518,"BM-Maybe,",teamGeo,teamGeo,geo3,2105,0.0
944,518,HG-OK) 15:31\n,teamGeo,teamGeo,geo3,2105,0.0
945,519,Martian Meteorology Specialist: Greetings from Moscow!,teamvc,teamvc,vc1,2105,0.0
945,519,It is 15:30 local time.,teamvc,teamvc,vc1,2105,0.0
945,519,"We here would like to suggest (17,38).",teamvc,teamvc,vc1,2105,0.0
945,519,Please let us know if this works.,teamvc,teamvc,vc1,2105,0.0
945,519,\n,teamvc,teamvc,vc1,2105,0.0
946,520,??,geo3,geo1,geo1,2105,0.0
946,520,??!!!,geo3,geo1,geo1,2105,0.0
947,521,"17,",con1,geo3,geo3,2105,0.0
947,521,"38 - OK,",con1,geo3,geo3,2105,0.0
947,521,"214642.25 Available,",con1,geo3,geo3,2105,0.0
947,521,"?42,928.45?",con1,geo3,geo3,2105,0.0
947,521,"After loss (MM-OK,",con1,geo3,geo3,2105,0.0
947,521,"MS-DEEP,",con1,geo3,geo3,2105,0.0
947,521,"BM-Maybe,",con1,geo3,geo3,2105,0.0
947,521,HG-OK) 15:31,con1,geo3,geo3,2105,0.0
948,522,"Materials Specialist: What do you think about point 17,38 ?",teamConstr,teamConstr,con3,2105,0.0
949,523,??????!\n,eng2,geo1,geo1,2105,0.0
950,524,?????????!\n,geo1,geo3,geo3,2105,0.0
951,525,Hi!,eng2,eng1,eng1,2105,0.0
951,525,"We have 17,38.",eng2,eng1,eng1,2105,0.0
951,525,Moscow time 3:32PM,eng2,eng1,eng1,2105,0.0
952,526,??,geo3,geo1,geo1,2105,0.0
952,526,??,geo3,geo1,geo1,2105,0.0
952,526,????,geo3,geo1,geo1,2105,0.0
953,527,Hydrogeologist: what about 16:18?\n15:36,teamGeo,teamGeo,geo1,2105,0.0
954,528,Martian Terrain Specialist: Hello from the US!,teamvc,teamvc,vc2,2105,0.0
954,528,We're all in different cities right now so sorry for the delay.,teamvc,teamvc,vc2,2105,0.0
954,528,"We'll look at 17,",teamvc,teamvc,vc2,2105,0.0
954,528,38 now.,teamvc,teamvc,vc2,2105,0.0
955,529,Hi!,eng3,eng1,eng1,2105,0.0
955,529,"We have 17,38.",eng3,eng1,eng1,2105,0.0
955,529,Moscow time 3:32PM\n,eng3,eng1,eng1,2105,0.0
956,530,"Drilling Specialist: hello,",teamConstr,teamConstr,con2,2105,0.0
956,530,"we're currently looking at 17,38",teamConstr,teamConstr,con2,2105,0.0
957,531,Biochemical Engineer: Hi!,teamEng,teamEng,eng1,2105,0.0
957,531,"We have 17,38.",teamEng,teamEng,eng1,2105,0.0
957,531,Moscow time 3:32PM,teamEng,teamEng,eng1,2105,0.0
958,532,Drilling Specialist: what drill brand/head/equipment material are you considering?,teamConstr,teamConstr,con2,2105,0.0
959,533,Drilling Specialist: i'm considering manual auger for drilling method,teamConstr,teamConstr,con2,2105,0.0
960,534,"Sedimentologist: 15:39\n\n18,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"39 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"NO WATER\n17,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"38 - OK,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"214642.25 Available,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"?42,928.45?",teamGeo,teamGeo,geo3,2105,0.0
960,534,"After loss (MM-OK,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"MS-DEEP,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"BM-Maybe,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"HG-OK)\n22,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"12 - OK,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"27296.48 Availabe,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"?10,918.592?",teamGeo,teamGeo,geo3,2105,0.0
960,534,"After loss\n15,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"36 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"ALMOST NO WATER\n12,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"29 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"NO WATER\n08,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"40 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"NO WATER\n27,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"32 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"NO WATER\n27,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"22 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"NO WATER\n09,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"34 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"NO WATER\n12,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"43 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"NO WATER\n26,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"29 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"NO WATER\n16,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"18 - MAYBE,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"50088.71 Available,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"?18,031.93 After loss\n31,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"17 - MAYBE,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"47000.81 Available,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"?16,920.2916?",teamGeo,teamGeo,geo3,2105,0.0
960,534,"After loss\n12,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"35 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"195655.21 Availabe with 100% water loss\n19,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"35 - OK,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"291243.95 Available,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"?46,599.032?",teamGeo,teamGeo,geo3,2105,0.0
960,534,"After loss\n19,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"34 - OK 316011.64 Available,",teamGeo,teamGeo,geo3,2105,0.0
960,534,"?107,443.9576?",teamGeo,teamGeo,geo3,2105,0.0
960,534,After loss,teamGeo,teamGeo,geo3,2105,0.0
961,535,"Sedimentologist: 18,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"39 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"NO WATER\n\n17,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"38 - OK,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"214642.25 Available,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"?42,928.45?",teamGeo,teamGeo,geo3,2105,0.0
961,535,"After loss (MM-OK,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"MS-DEEP,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"BM-Maybe,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"HG-OK)\n\n22,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"12 - OK,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"27296.48 Availabe,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"?10,918.592?",teamGeo,teamGeo,geo3,2105,0.0
961,535,"After loss\n\n15,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"36 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"ALMOST NO WATER\n\n12,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"29 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"NO WATER\n\n08,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"40 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"NO WATER\n\n27,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"32 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"NO WATER\n\n27,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"22 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"NO WATER\n\n09,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"34 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"NO WATER\n\n12,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"43 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"NO WATER\n\n26,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"29 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"NO WATER\n\n16,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"18 - MAYBE,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"50088.71 Available,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"?18,031.93 After loss\n\n31,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"17 - MAYBE,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"47000.81 Available,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"?16,920.2916?",teamGeo,teamGeo,geo3,2105,0.0
961,535,"After loss\n\n12,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"35 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"195655.21 Availabe with 100% water loss\n\n19,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"35 - OK,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"291243.95 Available,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"?46,599.032?",teamGeo,teamGeo,geo3,2105,0.0
961,535,"After loss\n\n19,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"34 - OK 316011.64 Available,",teamGeo,teamGeo,geo3,2105,0.0
961,535,"?107,443.9576?",teamGeo,teamGeo,geo3,2105,0.0
961,535,After loss\n,teamGeo,teamGeo,geo3,2105,0.0
962,536,"Materials Specialist: Check also 19,34 ..",teamConstr,teamConstr,con3,2105,0.0
962,536,it looks good for most of us here\ntime here 3:41 PM,teamConstr,teamConstr,con3,2105,0.0
963,537,Mechanical Engineer: Gotcha!,teamEng,teamEng,eng2,2105,0.0
963,537,Thank you!,teamEng,teamEng,eng2,2105,0.0
963,537,(CST 6:42AM)\n,teamEng,teamEng,eng2,2105,0.0
964,538,Operations Specialist: We are looking into it now.,teamConstr,teamConstr,con1,2105,0.0
964,538,"Thank you,",teamConstr,teamConstr,con1,2105,0.0
964,538,drilling specialist!,teamConstr,teamConstr,con1,2105,0.0
964,538,"Do we have any idea about drill brand,",teamConstr,teamConstr,con1,2105,0.0
964,538,"drill head,",teamConstr,teamConstr,con1,2105,0.0
964,538,"equipment material,",teamConstr,teamConstr,con1,2105,0.0
964,538,etc.?,teamConstr,teamConstr,con1,2105,0.0
965,539,We are examining this point.,eng1,eng3,eng3,2105,0.0
965,539,Thank you.,eng1,eng3,eng3,2105,0.0
965,539,Central time 6:44am,eng1,eng3,eng3,2105,0.0
966,540,Martian Terrain Specialist: By the way we don't have to sign off yet they just put that up so that we can have it in the background ,teamvc,teamvc,vc2,2105,0.0
967,541,"Sedimentologist: 18,",teamGeo,teamGeo,geo3,2105,0.0
967,541,"39 - BAD,",teamGeo,teamGeo,geo3,2105,0.0
967,541,NO WATER\n,teamGeo,teamGeo,geo3,2105,0.0
968,542,"Sedimentologist: 17,",teamGeo,teamGeo,geo3,2105,0.0
968,542,"39 - OK,",teamGeo,teamGeo,geo3,2105,0.0
