,content,recipient,sender,sentOnBehalfOf,session,block
270,Sedimentologist: 16:17 - Do you think we can bend on the price point? Some of the earlier sites actually had water but were just too expensive.,teamGeo,teamGeo,geo3,2103,1
271,Operations Specialist: need all info from drilling and materials,teamConstr,teamConstr,con1,2103,2
272,"Mechanical Engineer: Hello, we are liking (2,8). I can get 163,837 as my pump output using 300,00 Wattage and 50,000 Torque. We are current waiting on communications from the drilling specialist and materials specialist before we decide if this is truly a good option, but as of right now the majority of us are getting good values for this location (Sent at 0718 CST)\n",teamvc,teamEng,eng2,2103,2
273,"16:18 - 2, 8 has like 100% water loss.",con1,geo3,geo3,2103,2
274,"24, 14",con1,geo3,geo3,2103,2
275,"Sedimentologist: 16:19 - 24, 14",teamGeo,teamGeo,geo3,2103,2
276,not water,eng2,eng1,eng1,2103,2
277,we will check it out,con2,vc3,vc3,2103,2
278,"Structural Geologist: 7.20 - considering 37,26",teamGeo,teamGeo,geo2,2103,2
279,"Martian Meteorology Specialist:  Try 24, 14\n",teamvc,teamvc,vc1,2103,2
280,"Structural Geologist: 7.20 - never mind, 32,26 is too expensive",teamGeo,teamGeo,geo2,2103,2
281,Drilling Specialist: 24.14?,teamConstr,teamConstr,con2,2103,2
282,"This is way to expensive for me, do you have any other points",con2,vc3,vc3,2103,2
283,"Sedimentologist: 16:21 - Drilling and Materials are saying 24, 14 is workable. Not the best, but workable.",teamGeo,teamGeo,geo3,2103,2
284,"16:21 - Drilling and Materials are saying 24, 14 is workable. Not the best, but workable.",con1,geo3,geo3,2103,2
285,"24,14\n",eng3,eng1,eng1,2103,2
286,"Martian Meteorology Specialist: not the BEST for me, but it seems to be agreeable for everyone else, so in that case, we can increase training costs slightly from a meteorological standpoint.  ",teamvc,teamvc,vc1,2103,2
287,Maintenance Specialist: 5 minutes left 721 cst!,teamvc,teamvc,vc3,2103,2
288,We have 5 minutes. Do you have any other points you suggest we examine,eng1,eng3,eng3,2103,2
289,"Materials Specialist: what do you think 24,14?",teamConstr,teamConstr,con3,2103,2
290,"Biochemical Engineer: 24,14?",teamvc,teamEng,eng1,2103,2
291,Drilling Specialist: please check this point,teamConstr,teamConstr,con2,2103,2
292,"Structural Geologist: 7.22 - 24,14 is not so good",teamGeo,teamGeo,geo2,2103,2
293,Materials Specialist: for complex job we recommend to use Drill Brand A and Drill head A,teamConstr,teamConstr,con3,2103,2
294,"25, 41",geo3,con1,con1,2103,2
295,"Martian Meteorology Specialist: The sedimentologist here says that 2,8 is not good because of the water loss\n",teamEng,teamvc,vc1,2103,2
296,Materials Specialist: local time 16:24,teamConstr,teamConstr,con3,2103,2
297,"Maintenance Specialist: I think everyone in MAG is heavily leaning on 2, 8",teamvc,teamvc,vc3,2103,2
298,"Martian Meteorology Specialist: Can we circle back to 32,15?  Was that THAT expensive? ",teamvc,teamvc,vc1,2103,2
299,24.14,vc3,con2,con2,2103,2
300,"maintenance says 24, 14 is the worst thing they've ever seen",geo3,con1,con1,2103,2
301,"Maintenance Specialist: 24,14 does not work for our team (worst values for a couple)",teamvc,teamvc,vc3,2103,2
302,"Structural Geologist: 7.24 - considering 25,41 again",teamGeo,teamGeo,geo2,2103,2
303,24.14?,con1,con2,con2,2103,2
304,Operations Specialist: can't do,teamConstr,teamConstr,con1,2103,2
305,"Operations Specialist: 25, 41",teamConstr,teamConstr,con1,2103,2
306,Maintenance Specialist: This one does not work for us\n,teamEng,teamvc,vc3,2103,2
307,"32,15?",eng3,eng1,eng1,2103,2
308,"Martian Terrain Specialist: That doesn't work for us (24, 14)\n",teamEng,teamvc,vc2,2103,2
309,"Maintenance Specialist: 2, 8 and 25,41 seem options",teamEng,teamvc,vc3,2103,2
310,"Mechanical Engineer: 25,41 works good for me\n",teamvc,teamEng,eng2,2103,2
311,"Martian Meteorology Specialist: Everyone here likes 32,15!!!\n",teamvc,teamvc,vc1,2103,2
312,"Martian Terrain Specialist: 25, 41 seems best \nTraining decisions for me are \nH 10\nU 10\nM 2\nF 2",teamvc,teamvc,vc2,2103,2
313,"Biochemical Engineer: 32,15?",teamvc,teamEng,eng1,2103,2
314,"Martian Meteorology Specialist: It's good for me, too.  I know you said that it's a little expensive, but maybe we can make it work. ",teamvc,teamvc,vc1,2103,2
315,Maintenance Specialist: who can change map cell\n,teamvc,teamvc,vc3,2103,2
316,"Structural Geologist: we're doing 25,41\n",teamGeo,teamGeo,geo2,2103,2
317,Maintenance Specialist: we need to sign off now 7:28,teamvc,teamvc,vc3,2103,2
318,"Mechanical Engineer: We are ready to sign off on (25,41) over here\n",teamvc,teamEng,eng2,2103,2
319,"Materials Specialist: Everyone here likes 32,15 .. the only thing it has a little bit higher maintenance cost?\n\nwhat do you think?",teamConstr,teamConstr,con3,2103,2
320,Structural Geologist: they can bend on price point,teamGeo,teamGeo,geo2,2103,2
321,"Martian Meteorology Specialist: (2,8) does not have water apparently according to the sedimentologist here.",teamvc,teamvc,vc1,2103,2
322,"16:28 - 2,8 has no water. 25,41 has an average water loss of 1 (100%).",con1,geo3,geo3,2103,2
323,Martian Terrain Specialist: Sorry M 9 F 10 are better,teamvc,teamvc,vc2,2103,2
324,"Operations Specialist: 7:28 - 25, 41 is good to go. drill and head A, steel, and 200 duty works with percussion drilling",teamConstr,teamConstr,con1,2103,2
325,"That one didn't work for our team, but we need to sign off\n",con2,vc3,vc3,2103,2
326,"25, 41 is our sign off cell",con2,con1,con1,2103,2
327,"I think 25,41 is our best bet",con2,vc3,vc3,2103,2
328,do you guys copy?,con2,vc3,vc3,2103,2
329,"16:29 - any chance on reviewing 32, 15 again?",con1,geo3,geo3,2103,2
330,Materials Specialist: all other factors are good and workable ,teamConstr,teamConstr,con3,2103,2
331,"Sedimentologist: 16:29 - 25, 41 has an average water loss of 1 (100%)",teamGeo,teamGeo,geo3,2103,2
332,"Sedimentologist: 16:30 - any chance on reviewing 32,15 again?",teamGeo,teamGeo,geo3,2103,2
333,Maintenance Specialist: Hey were getting static over here? do you copy 7:30?,teamGeo,teamvc,vc3,2103,2
334,Percussion jetting?,con2,con3,con3,2103,2
335,Maintenance Specialist: Would you guys be able to work on signing off?,teamGeo,teamvc,vc3,2103,2
336,"Martian Meteorology Specialist: 25,41 really is not good.  LOTS of red/yellow/orange zones",teamvc,teamvc,vc1,2103,2
337,"Martian Terrain Specialist: 25, 41 doesn't work for that side? ",teamvc,teamvc,vc2,2103,2
338,"Martian Meteorology Specialist: 32,15 is INFINITELY better than 25,41.... also who inputs the final value into the signoff?",teamvc,teamvc,vc1,2103,2
339,Depth of UCA: 1482 (it is too much),vc3,con2,con2,2103,2
340,Materials Specialist: what's the wattage and torque?,teamConstr,teamConstr,con3,2103,2
341,"Structural Geologist: 7.33 - I thought it was previously mentioned that 25,41 looks good from the geology side?",teamGeo,teamGeo,geo2,2103,2
342,"Materials Specialist: for 25,41",teamConstr,teamConstr,con3,2103,2
343,"Sedimentologist: 16:32 - just a note: Average Water Loss is the average amount of water that is inaccessible due to its permeation into the hydraulic-confining bed ground layers. The values are 0.00 to 1.00. The value for 25, 41 is 1.00.",teamGeo,teamGeo,geo3,2103,2
344,we want 32.15,vc3,con2,con2,2103,2
345,Biochemical Engineer: 100 loss\n,teamvc,teamEng,eng1,2103,2
346,"Hey guys, we need to sign off\n",con2,vc3,vc3,2103,2
347,Sedimentologist: Hey we're here 16:34,teamvc,teamGeo,geo3,2103,2
348,"we have 25,41 \n",con2,vc3,vc3,2103,2
349,"Structural Geologist: 32, 15 is way too expensive",teamGeo,teamGeo,geo2,2103,2
350,"Biochemical Engineer: we can 32,15",teamvc,teamEng,eng1,2103,2
351,Structural Geologist: can anyone on that side change the map cell,teamGeo,teamGeo,geo2,2103,2
352,Sedimentologist: 16:34 - we can move forward. But it looks like we're still not agreed on a point just yet.,teamvc,teamGeo,geo3,2103,2
353,Martian Terrain Specialist: There are 9 green zones though and accessability and usability are pretty high is there any way we can make it work? ,teamvc,teamvc,vc2,2103,2
354,"Martian Terrain Specialist: Mechanical Engineer says 32, 15 is the worst option so far because we would get no water",teamvc,teamvc,vc2,2103,2
355,"Martian Terrain Specialist: mechanical engineer says absolutely not for 32, 15",teamEng,teamvc,vc2,2103,2
356,"Sedimentologist: 16:37 - looks like we made a mistake on our end - probably my miscalc on 25,41 - when we checked it again later I realized there was an issue with the water loss.",teamGeo,teamGeo,geo3,2103,2
357,"16:38 - looks like it's listed as cell -1,-1 - We're not sure how to c0rrect that right now. Any word on that?",con1,geo3,geo3,2103,2
358,"Maintenance Specialist: Hey guys, we need to sign off for the sake of the study!",teamGeo,teamvc,vc3,2103,2
359,"Maintenance Specialist: Hey, we need to sign off for the sake of the study!",teamvc,teamvc,vc3,2103,2
360,no one on our team is able to either,geo3,con1,con1,2103,2
361,7:42am,geo3,con1,con1,2103,2
362,Martian Terrain Specialist: Do we know who's able to change the map cells,teamGeo,teamvc,vc2,2103,2
363,hi\n,vc2,eng2,eng2,2103,2
364,hi loll,eng2,vc2,vc2,2103,2
365,Maintenance Specialist: our team is telling us to just sign out regardless and they will fix it next time!,teamvc,teamvc,vc3,2103,2
366,Sedimentologist: Gottem,teamvc,teamGeo,geo3,2103,2
367,We're all signed off. See y'all in relay?,con1,geo3,geo3,2103,2
368,16:42,con1,geo3,geo3,2103,2
369,Materials Specialist: Thank you all,teamConstr,teamConstr,con3,2103,2
370,Martian Meteorology Specialist: Thanks everyone! :),teamvc,teamvc,vc1,2103,2
371,Sedimentologist: 16:46 We've all signed off. Looks like y'all too.,teamvc,teamGeo,geo3,2103,2
372,Sedimentologist: What's up y'all? It's a boi the sedimentologist back at it again with the Project Red. Letsgoooo,teamGeo,teamGeo,geo3,2104,0
373,Materials Specialist: Hello from Mars,teamConstr,teamConstr,con3,2104,0
374,Sedimentologist: 15:27 Moscow time\n,teamGeo,teamGeo,geo3,2104,0
375,Nice to see you again,con2,con3,con3,2104,0
376,"Martian Meteorology Specialist: Hello Team! Martian Meteorologist here, reporting from Moscow :)",teamvc,teamvc,vc1,2104,0
377,"What's up Operations Spesh, it's ya boi, The Sedimentologist. Back at it again with the Project Red Design Task. 15:28 Moscow",con1,geo3,geo3,2104,0
378,Hello!!\n,con3,con2,con2,2104,0
379,Mic check,vc1,geo3,geo3,2104,0
380,pur pur\n,con2,geo1,geo1,2104,0
381,Sedimentologist: Request Comms check 15:28. Confirm?,teamGeo,teamGeo,geo3,2104,0
382,Request Comms check 15:28. Confirm?,con1,geo3,geo3,2104,0
383,HEY,geo3,geo1,geo1,2104,0
384,Congratulation on your Name day,geo1,con3,con3,2104,0
385,"Hi, we started",eng2,eng1,eng1,2104,0
386,"Hi, we started",eng3,eng1,eng1,2104,0
387,got em\n,geo3,vc1,vc1,2104,0
388,Thank you so MUCH!!!!\n,con3,geo1,geo1,2104,0
389,Drilling Specialist: What about 8\\47?,teamGeo,teamConstr,con2,2104,0
390,hello\n,con2,con1,con1,2104,0
391,Drilling Specialist: What about 8\\47?,teamEng,teamConstr,con2,2104,0
392,hello,con3,con1,con1,2104,0
393,Hydrogeologist: perfect\n,teamConstr,teamGeo,geo1,2104,0
394,Materials Specialist: What do you think?,teamConstr,teamConstr,con3,2104,0
395,confirmed :):) 6:36,geo3,con1,con1,2104,0
396,"cool, we've just started as well",eng1,eng3,eng3,2104,0
397,Operations Specialist: Hello!\n,teamConstr,teamConstr,con1,2104,0
398,"Structural Geologist: hello! It is also ya boi, the structural geologist 06:36 illinois time. comms check received! We are starting now!",teamGeo,teamGeo,geo2,2104,0
399,"Materials Specialist: 12,44?",teamConstr,teamConstr,con3,2104,0
400,Hello! Our structural geologist is looking at some possible location options now. 6:37 CST,eng1,eng2,eng2,2104,0
401,"Drilling Specialist: 20, 44 perfect!",teamConstr,teamConstr,con2,2104,0
402,"Martian Terrain Specialist: Hello! Our structural geologist is finding some locations. He wants us to look at 37,36\n",teamvc,teamvc,vc2,2104,0
403,"hello! What do you think about 20,44?",con1,con2,con2,2104,0
404,"Sedimentologist: Lit, awesome, received at 15:39 moscow time",teamGeo,teamGeo,geo3,2104,0
405,"Hello,",con1,con3,con3,2104,0
406,"Operations Specialist: (8,47) seems to work well",teamConstr,teamConstr,con1,2104,0
407,"Martian Terrain Specialist: Also 8,47",teamvc,teamvc,vc2,2104,0
408,Structural Geologist: 8/47 works pretty well for me. There is a lot of water available though its water recharge rate may be a little low. It is good for now nonetheless!\n,teamConstr,teamGeo,geo2,2104,0
409,Mechanical Engineer: 8/47 gives the best option of water output if a plastic pump case and impeller is used,teamConstr,teamEng,eng2,2104,0
410,"King mode. Ok, we're moving along. We're reviewing some points now. Will have some recs in a bit. Y'all have any yet?",con1,geo3,geo3,2104,0
411,"20,44 works well for me",con2,con1,con1,2104,0
412,Sedimentologist: Big mode time. We're reviewing some points now. Will have some recs in a bit. Y'all have any yet? We're ready to get this bread. 15:42,teamGeo,teamGeo,geo3,2104,0
413,"Materials Specialist: Check for 37,36?",teamGeo,teamConstr,con3,2104,0
414,"we are getting info here that 37,36 has high contamination.  Sedimentologist says that 8,47 will lose a lot of water. \n",vc3,vc1,vc1,2104,0
415,many contaminates,eng2,eng1,eng1,2104,1
416,"Operations Specialist: (20,44) also works well (sent 6:47)",teamConstr,teamConstr,con1,2104,1
417,"20,44 works well (sent 6:48)",geo3,con1,con1,2104,1
418,"Martian Terrain Specialist: We're now looking at 20,44 and 7,38",teamvc,teamvc,vc2,2104,1
419,"Structural Geologist: 37,36 is a little low on available water but it is still workable. Illinois time 6:48",teamConstr,teamGeo,geo2,2104,1
420,"How about 37,3?",vc3,vc1,vc1,2104,1
421,"Sedimentologist: how's 37, 3 lookin' for y'all?",teamGeo,teamGeo,geo3,2104,1
422,Biochemical Engineer: very good\n,teamConstr,teamEng,eng1,2104,1
423,"how's 37, 3 lookin' for y'all?",con1,geo3,geo3,2104,1
424,"47,3 Sedimentologist, Hydrogeologist  and Martian Meteorology like",eng2,con2,con2,2104,1
425,15:49,con1,geo3,geo3,2104,1
426,Hydrogeologist: 37.3?\n,teamConstr,teamGeo,geo1,2104,1
427,Sedimentologist: 15:49\n,teamGeo,teamGeo,geo3,2104,1
428,"Drilling Specialist: 47,3 better?",teamEng,teamConstr,con2,2104,1
429,"Structural Geologist: The locations we have scouted so far are 37,36; 7,38; 20,44 // 6:49 Illinois time",teamGeo,teamGeo,geo2,2104,1
430,Structural Geologist: very ready to get this bread XD // 6:50 Illinois time,teamGeo,teamGeo,geo2,2104,1
431,"Drilling Specialist: 37,3 good\n",teamGeo,teamConstr,con2,2104,1
432,"Materials Specialist: We're thinking of 37,3",teamConstr,teamConstr,con3,2104,1
433,"We have 97% water loss @ 20,44 - sorry my dude",con1,geo3,geo3,2104,1
434,"37,3 is fine for me (sent 6:52)",geo3,con1,con1,2104,1
435,Hydrogeologist: 29.19?\n,teamGeo,teamGeo,geo1,2104,1
436,"Martian Meteorology Specialist: sedimentologist says 100% water loss at 7,38.  20, 44 is very muddy water",teamvc,teamvc,vc1,2104,1
437,"Can you check the water loss in 10,47?",geo3,con3,con3,2104,1
438,"Sedimentologist: 37, 36 - Good for me, Biochemical says bad\n7,38 - 100% water loss lmao\n20,44 - 97% water loss",teamGeo,teamGeo,geo3,2104,1
439,"Structural Geologist: 37,3 is looking quite desperate for amount of water available // 6:54 illinois time",teamGeo,teamGeo,geo2,2104,1
440,"Structural Geologist: 37,3 looks quite desperate for amount of water available... // 6:56 Illinois time",teamConstr,teamGeo,geo2,2104,1
441,"Operations Specialist: 37,3 doesn't really work for the structural geologist",teamConstr,teamConstr,con1,2104,1
442,pe pe,geo1,con2,con2,2104,1
443,"Structural Geologist: 29,19 is good! // 6:57 illinois time",teamGeo,teamGeo,geo2,2104,1
444,pi pi,con2,geo1,geo1,2104,1
445,"Martian Meteorology Specialist: What about 37,3? there's a lot of water there, and while it's slightly contaminated, it's workable. \n",teamvc,teamvc,vc1,2104,1
446,"37,3 is dirty but we can bet about 46,000 from it",con1,geo3,geo3,2104,1
447,"Martian Terrain Specialist: Yeah, we're trying 29,19",teamvc,teamvc,vc2,2104,1
448,"Operations Specialist: hello materials specialist have you looked at 29,19",teamConstr,teamConstr,con1,2104,1
449,Operations Specialist: 6:59,teamConstr,teamConstr,con1,2104,1
450,"Materials Specialist: 37,3 works well for us",teamGeo,teamConstr,con3,2104,1
451,"Sedimentologist: I mean, on our end we estimate about 46,000 from it based upon loss and filtration needs. WHat are you seeing? Hit that like button. 13:59",teamGeo,teamGeo,geo3,2104,1
452,Fluid Engineer: that's a no go - 0 water available according to structural geologist,teamConstr,teamEng,eng3,2104,1
453,"Structural Geologist: lmao, ok noted on the water loss for 37,36 and 7,38 ~ searching for more locations! // 7:00 Illinois time",teamGeo,teamGeo,geo2,2104,1
454,"Structural Geologist: oops sorry didn't mean to write 37,36 in the last message! meant 7,38 and 20,44 // 7:01 illinois time",teamGeo,teamGeo,geo2,2104,1
455,"Martian Meteorology Specialist: Also, 29,19 is a great option among us!!! We LOVE this one!\n",teamvc,teamvc,vc1,2104,1
456,"Sedimentologist: 29, 19 lookin fine but expensive. Looks like we can get something like 138k out of it 16:02",teamGeo,teamGeo,geo3,2104,1
457,"Materials Specialist: yes, it works well for me",teamConstr,teamConstr,con3,2104,1
458,"Drilling Specialist: 29,19?\n",teamConstr,teamConstr,con2,2104,1
459,"29,19 lookin' aight. We calculate 92k from it",con1,geo3,geo3,2104,1
460,Sedimentologist: correction 92k 16:03,teamGeo,teamGeo,geo3,2104,2
461,Sedimentologist: correction 92k 16:03,teamGeo,teamGeo,geo3,2104,2
462,Sedimentologist: correction 92k 16:03,teamGeo,teamGeo,geo3,2104,2
463,Sedimentologist: correction 92k 16:03,teamGeo,teamGeo,geo3,2104,2
464,Sedimentologist: correction 92k 16:03,teamGeo,teamGeo,geo3,2104,2
465,Drilling Specialist: 29/19 not bad,teamConstr,teamConstr,con2,2104,2
466,"Materials Specialist: check for 29,19 .. it works well for us",teamEng,teamConstr,con3,2104,2
467,"Martian Meteorology Specialist: Use hygiene = 1, usability = 1, Maintenence = 3, fundraising = 5",teamvc,teamvc,vc1,2104,2
468,"Hydrogeologist: Thanks for the translation, Sedimentologist!\n",teamGeo,teamGeo,geo1,2104,2
469,Sedimentologist: @AlphaStructuralGeology - ? ??? ??? ??? ??????? ??-?????? ??? ????,teamGeo,teamGeo,geo3,2104,2
470,Sedimentologist: Just checkin',teamGeo,teamGeo,geo3,2104,2
471,"Martian Meteorology Specialist: oops, sorry, I did not mean that.  For 29,19, I meant, Hygiene = 1, usability = 4, maintenence, 1, fundraising 1\n",teamvc,teamvc,vc1,2104,2
472,Hydrogeologist: and?\n,teamGeo,teamGeo,geo1,2104,2
473,Operations Specialist: ok I need to know what drilling method you guys chose for that location,teamConstr,teamConstr,con1,2104,2
474,"Sedimentologist: 29,19 is looking like a go for us. How about y'all?",teamGeo,teamGeo,geo3,2104,2
475,Fluid Engineer: temperature is a bit high I think,teamConstr,teamEng,eng3,2104,2
476,"29,19 is lookin' like a go from us. How it be lookin' for y'all?",con1,geo3,geo3,2104,2
477,"Structural Geologist: in regards to ur last msg (the one that has 46,000), assuming u are referencing the 37,3 location, it says 130k available water which is considered a very poor option. Im looking for values around 300k // 7:07 illinois time",teamGeo,teamGeo,geo2,2104,2
478,"Mechanical Engineer: There are 13 minuted left, are there any definite nos for 8,47",teamConstr,teamEng,eng2,2104,2
479,Fluid Engineer: almost 58 out of 60,teamConstr,teamEng,eng3,2104,2
480,Fluid Engineer: meaning pipes may not be able to resist the temp,teamConstr,teamEng,eng3,2104,2
481,Sedimentologist: 16:07,teamGeo,teamGeo,geo3,2104,2
482,Hydrogeologist: good for us too,teamGeo,teamGeo,geo1,2104,2
483,"hey just to let you know, there's about 13 minutes left",eng1,eng3,eng3,2104,2
484,Hydrogeologist: )),teamGeo,teamGeo,geo1,2104,2
485,Biochemical Engineer: 40% loss water,teamConstr,teamEng,eng1,2104,2
486,Structural Geologist: also fyi we have 15mins left // 7:08 Illinois time,teamGeo,teamGeo,geo2,2104,2
487,"Martian Meteorology Specialist: The assumption I'm going by based on how I understand everything in my description, is that when the data tells me it's zero near a safety zone, that means there is no risk of dust storms really. Just wanted to clarify that so everyone understands my thought process. ",teamvc,teamvc,vc1,2104,2
488,Structural Geologist: haha correction* 10 mins left // 7:09 illinois time,teamGeo,teamGeo,geo2,2104,2
489,"29,19 works fine for us. however some people feel like 8,47 works better, but we can make 29,19 work",geo3,con1,con1,2104,2
490,"Mechanical Engineer: 8,47 and 29,19 are workable, 8/47 is more preferable for us as 29/19 has a very high temperature",teamConstr,teamEng,eng2,2104,2
491,"Sedimentologist: Sorry, that's the calculated amount - the good water. 29,19 has 326,587 but when we chop it up we end up having a usable amount that's lower. But if you're just lookin' at the amount - thats 326k. 16:11",teamGeo,teamGeo,geo3,2104,2
492,Martian Terrain Specialist: That looks good for me. Mechanical engineer is doubtful because of high temperature,teamvc,teamvc,vc2,2104,2
493,"Sedimentologist: Yeah, 37,3 isn't very good compared to 29,19 so we can move on from it.",teamGeo,teamGeo,geo3,2104,2
494,"Sedimentologist: I feel like we're all good to go with 29,19 on this end. So let me know how y'all are feelin' about that.",teamGeo,teamGeo,geo3,2104,2
495,"Structural Geologist: our engineering team says that the temp is a lil high at 29,19, but that it is definitely still a fair option. // 7:12 Illinois time",teamGeo,teamGeo,geo2,2104,2
496,Drilling Specialist: Vehicle Drill,teamConstr,teamConstr,con2,2104,2
497,"Structural Geologist: going to attempt putting in 29,19 into the sign off sheet! // 7:13 illinois time",teamGeo,teamGeo,geo2,2104,2
498,"Martian Terrain Specialist: Yeah, makes sense. I think we're going with 29,19",teamvc,teamvc,vc2,2104,2
499,"Ok, cool, because 8,47 has 100% water loss. Ok. Let's move ahead?",con1,geo3,geo3,2104,2
500,"Sedimentologist: We're solid with 29,19. Time to rock?",teamGeo,teamGeo,geo3,2104,2
501,Operations Specialist: Hello I need to know what values you guys put in,teamConstr,teamConstr,con1,2104,2
502,"Structural Geologist: copy that on 37,3 // 7:15 Illinois time",teamGeo,teamGeo,geo2,2104,2
503,Martian Meteorology Specialist: I see. I think that's the spot that the majority is good with though. Let's go with it.,teamvc,teamvc,vc1,2104,2
504,"Sedimentologist: Party up then, we're ready to rock. Moving to signoff phase.",teamGeo,teamGeo,geo3,2104,2
505,"Materials Specialist: 8,47 the loss of water is very high ",teamEng,teamConstr,con3,2104,2
506,"Structural Geologist: we also all are feeling good about 29,19, so also make sure to change yalls values in the sign off sheet! // 7:16 Illinois time",teamGeo,teamGeo,geo2,2104,2
507,"Sedimentologist: Rather, we're in there handling business. But we'll be moving forward with filling in our info.",teamGeo,teamGeo,geo3,2104,2
508,"I think 29,19 is decided, please put in filter info in sign off area!",eng1,eng2,eng2,2104,2
509,"We're filling in our info for 29,19. Lookin' mad fresh.",con1,geo3,geo3,2104,2
510,Sedimentologist: You are our hero @BigStructuralKing,teamGeo,teamGeo,geo3,2104,2
511,ok,eng2,eng1,eng1,2104,2
512,Biochemical Engineer: no,teamConstr,teamEng,eng1,2104,2
513,Structural Geologist: *sunglasses emoji*,teamGeo,teamGeo,geo2,2104,2
514,Structural Geologist: love y'all,teamGeo,teamGeo,geo2,2104,2
515,"Sedimentologist: Waddup boiz, we out here 15:29 Moscow\n",teamGeo,teamGeo,geo3,2105,0
516,Materials Specialist: Hello everyone ..\n,teamConstr,teamConstr,con3,2105,0
517,Hydrogeologist: ?????? ??????! 15:31,teamGeo,teamGeo,geo1,2105,0
518,"Sedimentologist: 17, 38 - OK, 214642.25 Available, ?42,928.45? After loss (MM-OK, MS-DEEP, BM-Maybe, HG-OK) 15:31\n",teamGeo,teamGeo,geo3,2105,0
519,"Martian Meteorology Specialist: Greetings from Moscow! It is 15:30 local time. We here would like to suggest (17,38). Please let us know if this works. \n",teamvc,teamvc,vc1,2105,0
520,?? ??!!!,geo3,geo1,geo1,2105,0
521,"17, 38 - OK, 214642.25 Available, ?42,928.45? After loss (MM-OK, MS-DEEP, BM-Maybe, HG-OK) 15:31",con1,geo3,geo3,2105,0
522,"Materials Specialist: What do you think about point 17,38 ?",teamConstr,teamConstr,con3,2105,0
523,??????!\n,eng2,geo1,geo1,2105,0
524,?????????!\n,geo1,geo3,geo3,2105,0
525,"Hi! We have 17,38. Moscow time 3:32PM",eng2,eng1,eng1,2105,0
526,?? ?? ????,geo3,geo1,geo1,2105,0
527,Hydrogeologist: what about 16:18?\n15:36,teamGeo,teamGeo,geo1,2105,0
528,"Martian Terrain Specialist: Hello from the US! We're all in different cities right now so sorry for the delay. We'll look at 17, 38 now.",teamvc,teamvc,vc2,2105,0
529,"Hi! We have 17,38. Moscow time 3:32PM\n",eng3,eng1,eng1,2105,0
530,"Drilling Specialist: hello, we're currently looking at 17,38",teamConstr,teamConstr,con2,2105,0
531,"Biochemical Engineer: Hi! We have 17,38. Moscow time 3:32PM",teamEng,teamEng,eng1,2105,0
532,Drilling Specialist: what drill brand/head/equipment material are you considering?,teamConstr,teamConstr,con2,2105,0
533,Drilling Specialist: i'm considering manual auger for drilling method,teamConstr,teamConstr,con2,2105,0
534,"Sedimentologist: 15:39\n\n18, 39 - BAD, NO WATER\n17, 38 - OK, 214642.25 Available, ?42,928.45? After loss (MM-OK, MS-DEEP, BM-Maybe, HG-OK)\n22, 12 - OK, 27296.48 Availabe, ?10,918.592? After loss\n15, 36 - BAD, ALMOST NO WATER\n12, 29 - BAD, NO WATER\n08, 40 - BAD, NO WATER\n27, 32 - BAD, NO WATER\n27, 22 - BAD, NO WATER\n09, 34 - BAD, NO WATER\n12, 43 - BAD, NO WATER\n26, 29 - BAD, NO WATER\n16, 18 - MAYBE, 50088.71 Available, ?18,031.93 After loss\n31, 17 - MAYBE, 47000.81 Available, ?16,920.2916? After loss\n12, 35 - BAD, 195655.21 Availabe with 100% water loss\n19, 35 - OK, 291243.95 Available, ?46,599.032? After loss\n19, 34 - OK 316011.64 Available, ?107,443.9576? After loss",teamGeo,teamGeo,geo3,2105,0
535,"Sedimentologist: 18, 39 - BAD, NO WATER\n\n17, 38 - OK, 214642.25 Available, ?42,928.45? After loss (MM-OK, MS-DEEP, BM-Maybe, HG-OK)\n\n22, 12 - OK, 27296.48 Availabe, ?10,918.592? After loss\n\n15, 36 - BAD, ALMOST NO WATER\n\n12, 29 - BAD, NO WATER\n\n08, 40 - BAD, NO WATER\n\n27, 32 - BAD, NO WATER\n\n27, 22 - BAD, NO WATER\n\n09, 34 - BAD, NO WATER\n\n12, 43 - BAD, NO WATER\n\n26, 29 - BAD, NO WATER\n\n16, 18 - MAYBE, 50088.71 Available, ?18,031.93 After loss\n\n31, 17 - MAYBE, 47000.81 Available, ?16,920.2916? After loss\n\n12, 35 - BAD, 195655.21 Availabe with 100% water loss\n\n19, 35 - OK, 291243.95 Available, ?46,599.032? After loss\n\n19, 34 - OK 316011.64 Available, ?107,443.9576? After loss\n",teamGeo,teamGeo,geo3,2105,0
536,"Materials Specialist: Check also 19,34 .. it looks good for most of us here\ntime here 3:41 PM",teamConstr,teamConstr,con3,2105,0
537,Mechanical Engineer: Gotcha! Thank you! (CST 6:42AM)\n,teamEng,teamEng,eng2,2105,0
538,"Operations Specialist: We are looking into it now. Thank you, drilling specialist! Do we have any idea about drill brand, drill head, equipment material, etc.?",teamConstr,teamConstr,con1,2105,0
539,We are examining this point. Thank you. Central time 6:44am,eng1,eng3,eng3,2105,0
540,Martian Terrain Specialist: By the way we don't have to sign off yet they just put that up so that we can have it in the background ,teamvc,teamvc,vc2,2105,0
541,"Sedimentologist: 18, 39 - BAD, NO WATER\n",teamGeo,teamGeo,geo3,2105,0
