Unnamed: 0,content,recipient,sender,sentOnBehalfOf,session,block,input_ids,token_type_ids,attention_mask,logits,labels_h,labels
371,"Sedimentologist: You can use any coordinates on the map.
",teamvc,teamGeo,geo3,1908,,"[array([  101, 19671,  8662,  1024,  2017,  2064,  2224,  2151, 12093,
         2006,  1996,  4949,  1012,   102,     0,     0,     0,     0,
            0,     0,     0,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 3.5476027   1.3814359   0.09953338 -0.9436705  -0.66675234 -1.9926709
 -2.1055257 ]",statement,0
372,"Hello! Could you provide your processing speed, parts source and servicing data you get for cell; 3,34?
",con1,con2,con2,1908,,"[array([  101,  7592,   999,  2071,  2017,  3073,  2115,  6364,  3177,
         1010,  3033,  3120,  1998, 26804,  2951,  2017,  2131,  2005,
         3526,  1025,  1017,  1010,  4090,  1029,   102,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 0.3394596   0.66227984  0.04515649 -1.2925786   3.1386395  -1.6177987
 -1.7788686 ]",question,4
373,"Hello! Could you provide the data you get for drill brand, drill head, equipment material and equipment duty for cell 3,34?
",con3,con2,con2,1908,,"[array([  101,  7592,   999,  2071,  2017,  3073,  1996,  2951,  2017,
         2131,  2005, 12913,  4435,  1010, 12913,  2132,  1010,  3941,
         3430,  1998,  3941,  4611,  2005,  3526,  1017,  1010,  4090,
         1029,   102,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 0, 0, 0], dtype=int8)                       ]","[ 0.32203028  0.6541658   0.00887344 -1.3152277   3.171814   -1.5987757
 -1.7804106 ]",question,4
374,"Biochemical Engineer: We have also been working for about 10 minutes! We do not have any specific coordinates in mind yet, but we will be in touch when we do!
",teamConstr,teamEng,eng1,1908,,"[array([  101, 16012, 15869,  3992,  1024,  2057,  2031,  2036,  2042,
         2551,  2005,  2055,  2184,  2781,   999,  2057,  2079,  2025,
         2031,  2151,  3563, 12093,  1999,  2568,  2664,  1010,  2021,
         2057,  2097,  2022,  1999,   102], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1], dtype=int8)                       ]","[ 2.9477534   1.7604622  -0.37780473 -1.1211405  -0.38544813 -2.3204575
 -2.007922  ]",statement,0
375,Drilling Specialist: Hello! Do you have any coordinates of preference that you want us to look into?,teamGeo,teamConstr,con2,1908,,"[array([  101, 15827,  8325,  1024,  7592,   999,  2079,  2017,  2031,
         2151, 12093,  1997, 12157,  2008,  2017,  2215,  2149,  2000,
         2298,  2046,  1029,   102,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 0.09995977  0.29951838  0.0551704  -1.2886611   3.378686   -1.3408935
 -1.713071  ]",question,4
376,"Materials Specialist: Please use the coordinates 47, 23",teamEng,teamConstr,con3,1908,,"[array([  101,  4475,  8325,  1024,  3531,  2224,  1996, 12093,  4700,
         1010,  2603,   102,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 3.2308238   1.7213542   0.31271276 -0.78138983 -1.0021056  -2.1946578
 -1.9404615 ]",statement,0
377,Materials Specialist: We have verified that these are ideal coordinates for our current analysis. It's an excellent location.,teamEng,teamConstr,con3,1908,,"[array([  101,  4475,  8325,  1024,  2057,  2031, 20119,  2008,  2122,
         2024,  7812, 12093,  2005,  2256,  2783,  4106,  1012,  2009,
         1005,  1055,  2019,  6581,  3295,  1012,   102,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 3.6086981   1.3995216  -0.16080357 -1.0094512  -0.92695206 -1.9472423
 -2.0167325 ]",statement,0
378,Hydrogeologist: Give us a minute!,teamConstr,teamGeo,geo1,1908,,"[array([  101, 18479,  3351,  8662,  1024,  2507,  2149,  1037,  3371,
          999,   102,     0,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 3.389668   1.6256759  0.668234  -0.6215845 -1.0996699 -2.094113
 -2.0122654]",statement,0
379,"Martian Meteorology Specialist: Okay, thank you. ",teamGeo,teamvc,vc1,1908,,"[array([  101, 20795, 23879,  6779,  8325,  1024,  3100,  1010,  4067,
         2017,  1012,   102,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 3.7298286   1.4736642   0.51600355 -0.6430034  -1.2654254  -1.9522172
 -2.0012963 ]",statement,0
380,"Operations Specialist: Hello, yes 47,23
",teamGeo,teamConstr,con1,1908,,"[array([ 101, 3136, 8325, 1024, 7592, 1010, 2748, 4700, 1010, 2603,  102,
           0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
           0,    0,    0,    0,    0,    0,    0,    0,    0,    0],
       dtype=int32)                                                      ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 3.2331834   1.6064963   1.0140384  -0.30672723 -1.5893292  -1.9779668
 -1.7589535 ]",statement,0
381,"47,23",vc3,vc1,vc1,1908,,"[array([ 101, 4700, 1010, 2603,  102,    0,    0,    0,    0,    0,    0,
           0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
           0,    0,    0,    0,    0,    0,    0,    0,    0,    0],
       dtype=int32)                                                      ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 3.2575912   1.4953164   0.7439524  -0.41883168 -1.2943538  -1.8439734
 -1.8138644 ]",statement,0
382,"Hydrogeologist: (10, 25)
(10,10)
(25,40)
(40,25)
(40,40)
-
(10, 40)
(25,10)
(25,25)
(40,10)",teamGeo,teamGeo,geo1,1908,,"[array([  101, 18479,  3351,  8662,  1024,  1006,  2184,  1010,  2423,
         1007,  1006,  2184,  1010,  2184,  1007,  1006,  2423,  1010,
         2871,  1007,  1006,  2871,  1010,  2423,  1007,  1006,  2871,
         1010,  2871,  1007,  1011,   102], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1], dtype=int8)                       ]","[ 3.511047    1.5753186   0.23323293 -0.67279613 -1.187694   -1.7036219
 -1.6900539 ]",statement,0
383,"I checked cell 47, 23. It gives a construction suitability of 0.5/1 and a total of 159.9 working hours",con3,con2,con2,1908,,"[array([  101,  1045,  7039,  3526,  4700,  1010,  2603,  1012,  2009,
         3957,  1037,  2810,  4848,  8010,  1997,  1014,  1012,  1019,
         1013,  1015,  1998,  1037,  2561,  1997, 18914,  1012,  1023,
         2551,  2847,   102,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 0, 0], dtype=int8)                       ]","[ 3.4730763   1.2475235   0.2041935  -0.8923779  -0.74302334 -1.7265483
 -1.9663628 ]",statement,0
384,It is not ideal,con1,con2,con2,1908,,"[array([ 101, 2009, 2003, 2025, 7812,  102,    0,    0,    0,    0,    0,
           0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
           0,    0,    0,    0,    0,    0,    0,    0,    0,    0],
       dtype=int32)                                                      ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 3.1285222   1.4689857  -0.14344752 -1.1828667  -0.08809909 -1.9383346
 -2.0403435 ]",statement,0
385,"Hydrogeologist: We found a good coordinate at (10,25)
",teamConstr,teamGeo,geo1,1908,,"[array([  101, 18479,  3351,  8662,  1024,  2057,  2179,  1037,  2204,
        13530,  2012,  1006,  2184,  1010,  2423,  1007,   102,     0,
            0,     0,     0,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 2.8694563   1.7940856  -0.31693265 -1.1519123  -0.49124864 -2.0437098
 -1.8118416 ]",statement,0
386,Structural Geologist: 25 minutes left,teamEng,teamGeo,geo2,1908,,"[array([  101,  8332, 21334,  1024,  2423,  2781,  2187,   102,     0,
            0,     0,     0,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 3.3303804   1.2680893   0.4589987  -0.8153018  -0.64557225 -1.6528802
 -1.7954048 ]",statement,0
387,Structural Geologist: 25 minutes left,teamvc,teamGeo,geo2,1908,,"[array([  101,  8332, 21334,  1024,  2423,  2781,  2187,   102,     0,
            0,     0,     0,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 3.3303804   1.2680893   0.4589987  -0.8153018  -0.64557225 -1.6528802
 -1.7954048 ]",statement,0
388,Structural Geologist: 25 minutes left,teamConstr,teamGeo,geo2,1908,,"[array([  101,  8332, 21334,  1024,  2423,  2781,  2187,   102,     0,
            0,     0,     0,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 3.3303804   1.2680893   0.4589987  -0.8153018  -0.64557225 -1.6528802
 -1.7954048 ]",statement,0
389,Sedimentologist: Hello. Not great for us! Lots of water loss. We'll get back to you with coordinates that might work for us and see if they're good for you.,teamConstr,teamGeo,geo3,1908,,"[array([  101, 19671,  8662,  1024,  7592,  1012,  2025,  2307,  2005,
         2149,   999,  7167,  1997,  2300,  3279,  1012,  2057,  1005,
         2222,  2131,  2067,  2000,  2017,  2007, 12093,  2008,  2453,
         2147,  2005,  2149,  1998,   102], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1], dtype=int8)                       ]","[ 3.5379307   1.5888498  -0.07447006 -0.7645128  -1.3768125  -1.9572347
 -1.8156528 ]",statement,0
390,"Biochemical Engineer: We have about 25 minutes left. We are discussing the 47, 23 point and it seems the geology team does not love that point.",teamConstr,teamEng,eng1,1908,,"[array([  101, 16012, 15869,  3992,  1024,  2057,  2031,  2055,  2423,
         2781,  2187,  1012,  2057,  2024, 10537,  1996,  4700,  1010,
         2603,  2391,  1998,  2009,  3849,  1996, 13404,  2136,  2515,
         2025,  2293,  2008,  2391,   102], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1], dtype=int8)                       ]","[ 3.4154458   1.4502834  -0.19093314 -1.0731716  -0.46915752 -2.013906
 -2.1955342 ]",statement,0
391,"Can you give me your measure of. processing speed, parts source and servicing for cell 10,25? thank you
",con1,con2,con2,1908,,"[array([  101,  2064,  2017,  2507,  2033,  2115,  5468,  1997,  1012,
         6364,  3177,  1010,  3033,  3120,  1998, 26804,  2005,  3526,
         2184,  1010,  2423,  1029,  4067,  2017,   102,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 0.3879174   0.45098627 -0.07628109 -1.2943968   3.2909555  -1.4568622
 -1.8148998 ]",question,4
392,"Sedimentologist: How does 10,25 look for you guys?",teamConstr,teamGeo,geo3,1908,,"[array([  101, 19671,  8662,  1024,  2129,  2515,  2184,  1010,  2423,
         2298,  2005,  2017,  4364,  1029,   102,     0,     0,     0,
            0,     0,     0,     0,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[-0.0449755   0.10900991  0.09395576 -1.2051146   3.4612138  -1.243541
 -1.6773012 ]",question,4
393,"Can you give me your measures fro drill brand, drill head, equipment material and equipment duty for 10,25?
",con3,con2,con2,1908,,"[array([  101,  2064,  2017,  2507,  2033,  2115,  5761, 10424,  2080,
        12913,  4435,  1010, 12913,  2132,  1010,  3941,  3430,  1998,
         3941,  4611,  2005,  2184,  1010,  2423,  1029,   102,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 0.17914294  0.30320528 -0.04647599 -1.2797064   3.3893309  -1.3640045
 -1.7363    ]",question,4
394,"Structural Geologist: (10,25), (10,10), (40,25), (40,40), (25,40)",teamGeo,teamGeo,geo2,1908,,"[array([  101,  8332, 21334,  1024,  1006,  2184,  1010,  2423,  1007,
         1010,  1006,  2184,  1010,  2184,  1007,  1010,  1006,  2871,
         1010,  2423,  1007,  1010,  1006,  2871,  1010,  2871,  1007,
         1010,  1006,  2423,  1010,   102], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1], dtype=int8)                       ]","[ 2.8521323   1.8728598   0.04793435 -0.8785109  -0.973966   -2.0486822
 -1.544387  ]",statement,0
395,"Materials Specialist: Regardless of the coordinates we choose, some specialists or teams will be left with non-ideal parameters. Therefore, SIRIUS mission recommends the entire team continue with coordinates 47, 23. We have completed a lot work with these coordinates and will be ready to complete the signoff with this information. Please let me us know if there are any additional issues with this location. Thanks.",teamGeo,teamConstr,con3,1908,,"[array([  101,  4475,  8325,  1024,  7539,  1997,  1996, 12093,  2057,
         5454,  1010,  2070, 15744,  2030,  2780,  2097,  2022,  2187,
         2007,  2512,  1011,  7812, 11709,  1012,  3568,  1010, 23466,
         3260, 26021,  1996,  2972,   102], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1], dtype=int8)                       ]","[ 3.4085674   1.5799172  -0.23250806 -0.9327521  -0.9876407  -2.1162677
 -1.9439752 ]",statement,0
396,"Can you give me your measure for pump wattage and pump torque for the cell 10,25?
",eng2,con2,con2,1908,,"[array([  101,  2064,  2017,  2507,  2033,  2115,  5468,  2005, 10216,
        15231,  4270,  1998, 10216, 15894,  2005,  1996,  3526,  2184,
         1010,  2423,  1029,   102,     0,     0,     0,     0,     0,
            0,     0,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[ 0.14244151  0.24720563 -0.02098545 -1.2615784   3.4215162  -1.3169178
 -1.7082075 ]",question,4
397,"Sedimentologist: There is very little accessible water in that location, as well as inefficient (from the Engineering team). While we have time, let's see if we can come up with a better solution, but that can be a possible solution if we run out of time.",teamConstr,teamGeo,geo3,1908,,"[array([  101, 19671,  8662,  1024,  2045,  2003,  2200,  2210,  7801,
         2300,  1999,  2008,  3295,  1010,  2004,  2092,  2004,  1999,
        12879,  8873, 23402,  3372,  1006,  2013,  1996,  3330,  2136,
         1007,  1012,  2096,  2057,   102], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1], dtype=int8)                       ]","[ 2.8807404   1.7287555  -0.5145861  -1.2449499  -0.10470396 -2.2368782
 -2.0725021 ]",statement,0
398,"Drilling Specialist: 47,23 is not efficient for Drilling. It would take a longer work time, the type of ground is not ideal",teamGeo,teamConstr,con2,1908,,"[array([  101, 15827,  8325,  1024,  4700,  1010,  2603,  2003,  2025,
         8114,  2005, 15827,  1012,  2009,  2052,  2202,  1037,  2936,
         2147,  2051,  1010,  1996,  2828,  1997,  2598,  2003,  2025,
         7812,   102,     0,     0,     0], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 0, 0, 0], dtype=int8)                       ]","[ 3.4115539   1.3731778  -0.23481238 -1.094421   -0.67364556 -1.8447071
 -1.927574  ]",statement,0
399,"Hydrogeologist: Let's try to check out (10,25) while we still have time. We have some very good values at that area.",teamConstr,teamGeo,geo1,1908,,"[array([  101, 18479,  3351,  8662,  1024,  2292,  1005,  1055,  3046,
         2000,  4638,  2041,  1006,  2184,  1010,  2423,  1007,  2096,
         2057,  2145,  2031,  2051,  1012,  2057,  2031,  2070,  2200,
         2204,  5300,  2012,  2008,   102], dtype=int32)              ]","[array([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0], dtype=int8)                       ]","[array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1], dtype=int8)                       ]","[ 3.4199197   1.5437161  -0.35011756 -1.0922426  -0.6275495  -2.08469
 -2.104311  ]",statement,0
