,sender,recipient,content,block,session,labels,labels_h
590,teamConstr,teamConstr,"Operations Specialist: what is the equipment duty for 19, 34? we are also looking at 17,39 - could i have all the materials information for that point?",1,5,4,question
591,teamvc,teamvc,"Maintenance Specialist: There is no way that we can completely eliminate contamination with filters and material at 17, 39! I do not know if that would work.",1,5,0,statement
592,teamGeo,teamGeo,"Sedimentologist: 19, 34 - looking mostly phresh for us FYI",1,5,0,statement
593,geo3,con1,"19, 34 - OK 316011.64 Available, ?107,443.9576? After loss\n",1,5,4,question
594,geo3,con1,This bad boi lookin' extra phresh FYI 15:58,1,5,0,statement
595,geo3,con1,"I mean 19, 34 15:59",1,5,0,statement
596,con1,geo3,"We are exploring 25, 3",1,5,0,statement
597,eng3,eng1,"17,39 will have lots of murky contaminants. We are looking at 25,3 now",1,5,0,statement
598,teamGeo,teamGeo,Structural Geologist: 15 53?\n,1,5,4,question
599,teamConstr,teamConstr,"Drilling Specialist: 25,3 what is the drill brand, head, material, equipment duty",1,5,0,statement
600,teamGeo,teamGeo,"Sedimentologist: We are in agreement that 17, 39 is good for our team. Not great, not terrible 16:00",1,5,0,statement
601,eng1,eng3,"17,39",1,5,0,statement
602,teamConstr,teamConstr,"Materials Specialist: Equipment duty for 19,34 is 180",1,5,0,statement
603,teamGeo,teamGeo,Sedimentologist: Filter H can handle the contamination according to our guy. 16:01,1,5,0,statement
604,teamvc,teamvc,"Martian Meteorology Specialist: I prefer 17,39  (sent 16:02 Moscow Time).  All of us here are in agree that could work. Biochemical Engineer here says that Filter H can clean up to 85% of water in that area. ",1,5,0,statement
605,geo3,con1,"We are in agreement here that  17, 39 lookin' aight for everyone on our end and Filter H can handle the contamination if need be",1,5,0,statement
606,geo3,con1,"Aight, fair enough re; 25, 3. We're on standby",1,5,0,statement
607,teamvc,teamvc,"Maintenance Specialist: We are trying 25, 3, seems to be pretty good for us",1,5,0,statement
608,teamGeo,teamGeo,"Sedimentologist: Sorry, 15:53 is the moscow time",1,5,0,statement
609,con1,geo3,"LMAO okay we can't do 19, 34 because there is too much contamination 7:03",1,5,0,statement
610,vc1,eng3,Hey Engineering Team -- What percentage of water cleaniness would be acceptable and able to live on? (sent 16:03 Moscow Time)  Would getting the water 85% clean work or not? \n,1,5,4,question
611,eng3,eng1,"19,34 is the best option for us right now",1,5,0,statement
612,teamvc,teamvc,"Martian Meteorology Specialist: What did you all think about (25,3) ? This one is great, too, and we all agree that it's a do-able spot (sent 16:05 Moscow Time)",1,5,4,question
613,teamGeo,teamGeo,"Structural Geologist: yes 17 39 works as well, but with very slow recharge rate",1,5,0,statement
614,teamConstr,teamConstr,"Materials Specialist: for 25,3 .. Brand B, Head B, Material Steel and Duty 150",1,5,0,statement
615,eng1,eng3,"25,3 maybe ",1,5,0,statement
616,teamGeo,teamGeo,Sedimentologist: @AlphaStructuralGeologist - what's poppin'? Y'all got some news? 16:07,1,5,4,question
617,eng1,eng2,"25,3",1,5,0,statement
618,teamvc,teamvc,"Martian Terrain Specialist: 17, 39 works for us on this end (7:09 CST)",1,5,0,statement
619,teamGeo,teamGeo,"Sedimentologist: 17, 39 - Aight, it's a slow boi but we take what we can get. We can take that on our side. Give a confirm when you can.",1,5,0,statement
620,geo3,con1,"17, 39 is aight. It's not the chonkiest water boi but he'll do for our colonists according to our assessment on this side.",1,5,0,statement
621,teamConstr,teamConstr,"Materials Specialist: Drilling specialist, what the drilling method?",1,5,4,question
622,teamvc,teamvc,"Maintenance Specialist: 17, 39 > 25, 3 > 19, 34 I think is our preference right now (7:10 cst).",1,5,0,statement
623,teamGeo,teamGeo,Sedimentologist: sTURSRU,2,5,0,statement
624,teamGeo,teamGeo,"Sedimentologist: Sorry, structural geologist*",2,5,0,statement
625,teamGeo,teamGeo,Structural Geologist: i think we're going with 17 39 sounds good?,2,5,4,question
626,eng3,vc1,"We would prefer a higher cleanliness if possible, but we can work with 85% if necessary\n",2,5,0,statement
627,teamGeo,teamGeo,Sedimentologist: Do you put the coordinates in? We're ready to party,2,5,4,question
628,teamConstr,teamConstr,Drilling Specialist: manual auger,2,5,0,statement
629,eng2,eng1,"For the MAG, the best coordinate is 17,39 the second best is 25,3 and the third best is 19,34",2,5,0,statement
630,teamvc,teamvc,"Martian Terrain Specialist: 25, 3 is not a great option for our structural geologist how do you all feel about 17, 39?",2,5,4,question
631,teamConstr,teamConstr,"Materials Specialist: 17,39 .. Brand A, Head A, Material Titanium and Equipment duty 200 ... what's the drilling method?",2,5,4,question
632,geo3,con1,"We out here ready to part @ 17, 39 if y'all can smash them coords into the box for us",2,5,0,statement
633,teamvc,teamvc,Martian Terrain Specialist: Also please let the sedimentologist know we are loving their messages,2,5,0,statement
634,con1,geo3,"im dead. i think our best options are 19,34 and 25,3 - what are y'all's preferences? 7:16",2,5,4,question
635,teamGeo,teamGeo,"Sedimentologist: Yeah man, we're literally smashing that LIKE as hard as we can now. 16:16",2,5,0,statement
636,geo3,con1,"Like button SMASH on 17, 39 16:17",2,5,0,statement
637,teamGeo,teamGeo,Sedimentologist: Who throws them coords in? Let's get to rollin'. I'm ready for this water to FLOW,2,5,4,question
638,teamvc,teamvc,"Martian Meteorology Specialist: So we like and all agree on (17,39)! Sweet! Let's go with that.  My values for Meteorologist decisions would be: hygiene = 6, usability = 4, maintenance = 1, fundraising = 10 .  Feel free to let the others know that we'd be okay to sign off on that!  (sent 16:18 Moscow Time)",2,5,0,statement
639,teamvc,teamvc,"Martian Terrain Specialist: What are your training decisions for 17, 39 (07:18 CST)?",2,5,4,question
640,teamConstr,teamConstr,"Drilling Specialist: 17,39 manual auger",2,5,0,statement
641,eng3,eng1,"17,39 would work best for us",2,5,0,statement
642,vc3,eng1,"for filters we are using A, D, and H, does this work for you? (7:20 CST)",2,5,4,question
643,teamvc,teamvc,Martian Meteorology Specialist: What is are the Maintenance values you would put in @MaintenanceSpecialist ? (sent 16:20 Moscow Time),2,5,4,question
644,geo3,con1,"Y'all aren't settled on 17, 39? Hit up structural geo pls if you're across the table. They said the game was lock tight",2,5,4,question
645,teamConstr,teamConstr,Materials Specialist: manual auger is not the best option for Brand B and Head B,2,5,0,statement
646,con1,geo3,oh hell yeah we're with you 7:22,2,5,0,statement
647,teamvc,teamvc,"Maintenance Specialist: Okay, can you let your team know our filters are A, D, and H respectively\n",2,5,0,statement
648,geo3,con1,I think someone's gotta put them coords into the box for Map Cell. Holla atcha boi,2,5,0,statement
649,teamvc,teamvc,Maintenance Specialist: Does that work for you?,2,5,4,question
650,geo3,con1,smash Suhmash SUHHMASSHH,2,5,2,backchannel
651,eng3,eng1,We are signing off now,2,5,0,statement
652,teamvc,teamvc,Martian Terrain Specialist: OK we will sign off now (07:23 CST),2,5,0,statement
653,teamvc,teamvc,"Maintenance Specialist: We are signing off right now, (we have 1 minute left)",2,5,0,statement
654,teamConstr,teamConstr,Materials Specialist: Drilling Specialist: manual auger does not work with equipment duty 200 !!!,2,5,0,statement
655,eng1,eng2,"17,39 60% lost\n25,3   69%\n19,3  60%",2,5,0,statement
656,teamGeo,teamGeo,Structural Geologist: i cant seem to be able to\nc,2,5,0,statement
657,teamGeo,teamGeo,Structural Geologist: can someone put in 17 39,2,5,0,statement
658,teamConstr,teamConstr,"Drilling Specialist: we're doing 17,39 ",2,5,0,statement
659,geo3,con1,Real talk smash mission time. We out here.,2,5,0,statement
660,geo3,con1,Gotta get that map cell changed though. Is that the structural geologist that does that?,2,5,4,question
661,teamGeo,teamGeo,"Sedimentologist: Struct geo, are you the one that puts in the coordinates or naw? We're about that life.",2,5,4,question
662,teamvc,teamvc,"Martian Meteorology Specialist: What about your pump wattage, torque, repair frequency, pipe material, and pipe width? (sent 16:26 Moscow Time)\n",2,5,4,question
663,teamvc,teamvc,Martian Meteorology Specialist: Ah ok cool! Sounds good! Great working with you all!\n (16:27),2,5,0,statement
664,teamConstr,teamConstr,Materials Specialist: any updates?,2,5,4,question
665,teamGeo,teamGeo,Sedimentologist: Who ended up putting it in? This prob won't make it in time but aight 16:29,2,5,4,question
666,con1,geo3,catch me colonizing marz 2025,2,5,0,statement
667,teamGeo,teamGeo,"Sedimentologist: Hey, as always, it was real af",2,5,0,statement
668,con1,geo3,just in a silly goofy mood :P,2,5,0,statement
669,teamGeo,teamGeo,Sedimentologist: af = and fun*,2,5,1,disruption
670,teamvc,teamvc,Martian Terrain Specialist: FIRST SUCCESSFUL PROJECT RED WOOT WOOT,2,5,0,statement
671,geo3,con1,lmao we are literally out here,2,5,0,statement
672,geo3,con1,"mars gonna catch these hands, 2025",2,5,0,statement
673,teamGeo,teamGeo,"Sedimentologist: 15:20 Comms check, comms check, comms check. It is (not) Wednesday my dudes. It is a balmy -7 degrees Celsius here in Moscow, Russia, but that doesn't really mean much to us as we are in a space capsule. Give us that thumbs up somehow when you receive this message! All of us here are looking forward to getting down to business with y'all today.",0,6,0,statement
674,geo3,con1,"15:20 Comms check, comms check, comms check. It is (not) Wednesday my dudes. It is a balmy -7 degrees Celsius here in Moscow, Russia, but that doesn't really mean much to us as we are in a space capsule. Give us that thumbs up somehow when you receive this message! All of us here are looking forward to getting down to business with y'all today.",0,6,0,statement
675,vc1,geo1,Test,0,6,0,statement
676,teamvc,teamvc,Martian Meteorology Specialist: Hello team! The Moscow contingent is here and ready to go. ,0,6,0,statement
677,teamvc,teamConstr,Martian Meteorology Specialist: Hello! The Moscow contingent is here and ready to go.,0,6,0,statement
678,teamvc,teamEng,Martian Meteorology Specialist: Hello! The Moscow contingent is here and ready to go.\n,0,6,0,statement
679,teamvc,teamGeo,Martian Meteorology Specialist: Hello! The Moscow contingent is here and ready to go.,0,6,0,statement
680,geo3,con1,"07, 11 - OK, 221352.1 Available, ?115,103.092? After loss\n",0,6,4,question
681,geo3,con1,15:30,0,6,0,statement
682,teamGeo,teamGeo,"Sedimentologist: 15:30 (07, 11) - OK, 221352.1 Available, ?115,103.092? After loss",0,6,4,question
683,geo1,vc1,Pi pi Pu Pu\n,0,6,0,statement
684,teamGeo,teamGeo,"Sedimentologist: 15:53 (10, 30) - OK, 104140 Available, ?60,401.2? After loss",0,6,4,question
685,geo3,con1,"15:33: (10, 30) - OK, 104140 Available, ?60,401.2? After loss",0,6,4,question
686,teamGeo,teamGeo,"Sedimentologist: Sorry, 15:33********\n",0,6,0,statement
687,teamGeo,teamGeo,Sedimentologist: O'DOYLE RULES,0,6,0,statement
688,teamGeo,teamGeo,"Sedimentologist: 15:40 (07, 11) is really our primary. (10, 30) is our backup.",0,6,0,statement
689,geo3,con1,"15:40 (07, 11) is really our primary. (10, 30) is our backup.",0,6,0,statement
690,teamvc,teamGeo,"Martian Meteorology Specialist: We like points (7,11) and (10,30).  What do you think?",0,6,4,question
691,teamvc,teamConstr,"Martian Meteorology Specialist: We like points (7,11) and (10,30).  What do you think?",0,6,4,question
692,teamvc,teamEng,"Martian Meteorology Specialist: We like points (7,11) and (10,30).  What do you think?",0,6,4,question
693,eng1,eng2,"Hi! We 7,11",0,6,0,statement
694,eng1,eng3,"Hi! We 7,11",0,6,0,statement
695,teamEng,teamEng,"Biochemical Engineer: Hi! We 7,11",0,6,0,statement
696,vc1,geo1,got em.\n,0,6,0,statement
697,teamConstr,teamConstr,Materials Specialist: Hello everyone ,0,6,0,statement
698,teamEng,teamvc,"Fluid Engineer: hi, we are all here we are just waiting on our structural geologist\n",0,6,0,statement
699,teamvc,teamvc,Martian Terrain Specialist: We're here! Just awaiting instruction from our structural geologist.,0,6,0,statement
700,teamEng,teamvc,Fluid Engineer: ok we are starting now,0,6,0,statement
701,teamGeo,teamGeo,Structural Geologist: hello I am here now! good morning from texas!,0,6,0,statement
702,teamGeo,teamGeo,Structural Geologist: 6:44 am,0,6,0,statement
703,teamConstr,teamvc,Operations Specialist: Hello! we are taking a look at them now\n,0,6,0,statement
704,teamConstr,teamConstr,Drilling Specialist: hello,0,6,0,statement
705,teamConstr,teamConstr,Operations Specialist: hello\n,0,6,0,statement
706,teamvc,teamvc,"Martian Meteorology Specialist: We like points (7,11) and (10,30).  What do you think?\n",0,6,4,question
707,con1,geo3,Both spots are pretty bad for construction suitability,0,6,0,statement
708,teamGeo,teamGeo,Hydrogeologist: Hello!)\n,0,6,0,statement
709,teamGeo,teamGeo,Sedimentologist: 15:47 here let's get this bread,0,6,0,statement
710,teamConstr,teamConstr,"Materials Specialist: What do you think (7,11) and (10,30) ..??",0,6,4,question
711,teamGeo,teamGeo,"Sedimentologist: 15:48 Yo, @StructGeo - are y'all all in one room or are you all logging in from different locations? We were wondering.",0,6,0,statement
712,geo2,eng3,hello is this going throuhg?,0,6,4,question
713,eng3,geo2,yeah got it\n\n,0,6,0,statement
714,geo3,con1,"15:51 ok, we're looking hard but FYI those two spots have been confirmed by everyone on our side so if we have to fall back #1 is (07, 11) and #2 is (10, 30)",0,6,0,statement
715,geo1,geo3,??? ??? ??? ??????????!?\n,0,6,4,question
716,teamGeo,teamGeo,Structural Geologist: different locations! 6:53,0,6,0,statement
717,con2,geo2,you need to know depth of UCA?,0,6,4,question
718,con1,geo3,thats fine!,1,6,0,statement
719,geo2,con2,i normally just look at the recharge into UCA and amt of water available numbers,1,6,0,statement
720,teamConstr,teamConstr,"Operations Specialist: 7,11 is pretty bad for me and some people on my side",1,6,0,statement
721,teamGeo,teamGeo,"Sedimentologist: 15:57 Oh ok, word. Real talk.",1,6,0,statement
722,eng2,eng1,"7, 11 looks poor for total water output, but trying 10,30 now!",1,6,0,statement
723,teamGeo,teamGeo,"Sedimentologist: 15:57 we're all in a capsule. So, a little different scenario.",1,6,0,statement
724,vc1,geo2,"Hey there - We heard that we are awaiting a response from you :) .  Any decisions about (7, 11) and (10,30) yet?  What do you think? Also, (19,29) is not a bad option for us, too. Let us know.",1,6,0,statement
725,teamvc,teamvc,"Martian Meteorology Specialist: Another good option is (19, 29). Let us know. We haven't gotten any feedback yet about locations from Chicago.  Keep us posted.  Over. \n",1,6,0,statement
726,teamvc,teamConstr,"Martian Meteorology Specialist: Another good option is (19, 29). Let us know.  We haven't gotten any feedback yet about locations from Chicago. Keep us posted. Over. ",1,6,0,statement
727,teamvc,teamEng,"Martian Meteorology Specialist: Another good option is (19, 29). Let us know.  We haven't gotten any feedback yet about locations from Chicago. Keep us posted. Over. ",1,6,0,statement
728,teamvc,teamGeo,"Martian Meteorology Specialist: Another good option is (19, 29). Let us know.  We haven't gotten any feedback yet about locations from Chicago. Keep us posted. Over. ",1,6,0,statement
729,teamvc,teamGeo,"Martian Meteorology Specialist: Another good option is (19, 29). Let us know.  We haven't gotten any feedback yet about locations from Chicago. Keep us posted. Over. ",1,6,0,statement
730,teamvc,teamGeo,"Martian Meteorology Specialist: Another good option is (19, 29). Let us know.  We haven't gotten any feedback yet about locations from Chicago. Keep us posted. Over. ",1,6,0,statement
731,teamConstr,teamConstr,"Drilling Specialist: Looking at 45,47",1,6,0,statement
732,con1,geo3,"we're looking at 45,47 right now",1,6,0,statement
733,teamConstr,teamConstr,"Materials Specialist: another good option is 19,29 .. what do you think?",1,6,4,question
734,geo3,con1,"16:07 (45, 47) - (---) OK, 152526.15 Available, ?28,979.9685? After loss",1,6,4,question
735,teamConstr,teamConstr,"Operations Specialist: Pretty bad for me, all the good spots seem to be in the upper right corner of the grid",1,6,0,statement
736,teamConstr,teamConstr,"Materials Specialist: 45,47 .. seems bad for some people here",1,6,0,statement
737,geo3,con1,"16:07 our meteorologist is just straight up not vibing with (45, 47)",1,6,0,statement
738,teamvc,teamvc,"Martian Meteorology Specialist: Team? Anything? Our sedimentologist here mentioned that you all are looking at 45, 47, too, but that is NOT a good option.  The meteorology costs would be SO HIGH. ",1,6,4,question
739,teamConstr,teamConstr,"Operations Specialist: 19,29 doesn't work for some people on my side",1,6,0,statement
740,teamGeo,teamGeo,Structural Geologist: sorry but a little emergency occurred! the website is currently bugged out for me! I can message you guys but I cannot interact with the map to extract data from the grid cells! so instead you should try and talk with the drilling specialist who will fill in my role!!! 7:09,1,6,0,statement
741,teamvc,teamvc,Martian Terrain Specialist:  All three points so far have been shot down for various reasons. Any other suggestions?,1,6,4,question
742,teamGeo,teamGeo,"Sedimentologist: 16:09 Meteorologist is straight up not having a good time with (45, 47)",1,6,0,statement
743,teamGeo,teamGeo,"Structural Geologist: so in short, you should just pick out the locations! please relay this info to the rest of your team there! 7:10",1,6,0,statement
744,teamConstr,teamConstr,Materials Specialist: like what points operation specialist ??,1,6,4,question
745,teamGeo,teamGeo,Sedimentologist: 16:13 You got it! I hope it gets sorted shortly!,1,6,0,statement
746,geo3,con2,16:13 yo yo yo - @StructGeo said that they had a snafu. What's up here?,1,6,4,question
747,geo3,con2,16:15 word up,1,6,0,statement
748,teamConstr,teamConstr,"Drilling Specialist: We are looking at 24,35\n",1,6,0,statement
749,teamConstr,teamConstr,"Operations Specialist: Such as 45,47, 45,45, 45,41\n",1,6,0,statement
750,teamConstr,teamConstr,Operations Specialist: ok\n,1,6,0,statement
751,geo3,con2,"(39, 41) - (---) OK, 77047.51 Available, ?51,621.8317? After loss",1,6,4,question
752,geo3,con1,"(39, 41) - (---) OK, 77047.51 Available, ?51,621.8317? After loss",1,6,4,question
753,teamConstr,teamConstr,Operations Specialist: However I think all of those points are bad for the fluid engineer and materials specialist,1,6,0,statement
754,teamGeo,teamGeo,"Sedimentologist: (39, 41) - (---) OK, 77047.51 Available, ?51,621.8317? After loss",1,6,4,question
755,geo3,geo1,????????????????????????????????,1,6,4,question
756,teamvc,teamvc,"Martian Terrain Specialist: Looking at 24,35 and 25,36 right now",1,6,0,statement
757,teamGeo,teamGeo,"Sedimentologist: (14, 06) - (--+) OK, 229482.96 Available, ?45,896.592? After loss",1,6,0,statement
758,geo3,con1,"(14, 06) - (--+) OK, 229482.96 Available, ?45,896.592? After loss",1,6,4,question
759,geo3,con2,"(14, 06) - (--+) OK, 229482.96 Available, ?45,896.592? After loss",1,6,4,question
760,teamGeo,teamvc,Structural Geologist: sorry but I have been experiencing technical error with the website so I cannot interact with the map so i cant provide any feedback on locations! for now just rely on your geology team members there to find locations! 7:17,1,6,0,statement
761,geo2,vc1,sorry but I have been experiencing technical error with the website so I cannot interact with the map so i cant provide any feedback on locations! for now just rely on your geology team members there to find locations! 7:17,1,6,0,statement
762,geo3,con2,"(13, 38) - (---) OK, 81850.5 Available, ?28,647.675? After loss",1,6,4,question
763,geo3,con1,"(13, 38) - (---) OK, 81850.5 Available, ?28,647.675? After loss",1,6,4,question
764,teamGeo,teamGeo,"Sedimentologist: (13, 38) - (---) OK, 81850.5 Available, ?28,647.675? After loss",1,6,4,question
765,teamvc,teamvc,"Martian Meteorology Specialist: Try (13,38) !",1,6,0,statement
766,teamConstr,teamConstr,"Materials Specialist: we agreed here on 13,38 ",1,6,0,statement
767,teamEng,teamEng,"Biochemical Engineer: 13,38\n",1,6,0,statement
768,con1,geo3,"we all like 24,35\n",1,6,0,statement
769,eng1,eng3,"13,38\n",1,6,0,statement
770,teamConstr,teamConstr,"Operations Specialist: We are now looking at 24,35",1,6,0,statement
771,teamvc,teamvc,Martian Meteorology Specialist: sedimentologist says there is no water at either of those locations\n,1,6,0,statement
772,teamvc,teamvc,Martian Meteorology Specialist: sedimentologist says there is no water at either of those locations\n,1,6,0,statement
773,teamvc,teamvc,Martian Meteorology Specialist: sedimentologist says there is no water at either of those locations\n,1,6,0,statement
774,teamConstr,teamConstr,Materials Specialist: all the points you mentioned above there is no water there (Operation & Drilling),1,6,0,statement
775,teamvc,teamGeo,Martian Meteorology Specialist: Copy that!,1,6,0,statement
776,geo3,con1,"(24, 35) - BAD, NO WATER",1,6,0,statement
777,geo3,con1,16: 22 - sorry m8\n,1,6,0,statement
778,geo3,con1,This is the whole list of good ones that we've got. I'm gonna blow up your chat so my b,1,6,0,statement
779,geo3,con1,"(05, 03) - (--+) OK, 281476.14 Available, ?33,777.1368? After loss",1,6,4,question
780,geo3,con1,"(07, 11) - (+++) OK, 221352.1 Available, ?115,103.092? After loss",1,6,4,question
781,geo3,con1,"(10, 30) - (-++) OK, 104140 Available, ?60,401.2? After loss",1,6,4,question
782,eng3,geo1,5 mins left\n,1,6,0,statement
783,geo3,con1,"(13, 38) - (---) OK, 81850.5 Available, ?28,647.675? After loss",1,6,4,question
784,geo3,con1,"(14, 06) - (--+) OK, 229482.96 Available, ?45,896.592? After loss",1,6,4,question
785,geo3,con1,"(15, 17) - (---) OK, 30467.05 Available, ?11,882.1495? After loss",1,6,4,question
786,geo3,con1,"(19, 29) - (+++) OK, 306661.37 Available, ?104,264.8658? After loss",1,6,4,question
787,geo3,con1,"(28, 24) - (--+) OK, 67645.7 Available, ?31,117.022? After loss",1,6,4,question
788,geo3,con1,"(29, 18) - (--+) OK, 144983.32 Available, ?24,647.1644? After loss",1,6,4,question
789,teamEng,teamvc,"Mechanical Engineer: Does 24, 35 work for you?\n",1,6,0,statement
790,geo3,con1,"(37, 35) - (---) OK, 69740.49 Available, ?25,106.5764? After loss",1,6,4,question
791,geo3,con1,"(39, 41) - (---) OK, 77047.51 Available, ?51,621.8317? After loss",1,6,4,question
792,geo3,con1,"(42, 17) - (---) OK, 81356.78 Available, ?23,593.4662? After loss",1,6,4,question
793,geo3,con1,"(45, 41) - (-++) OK, 218912.05 Available, ?87,564.82? After loss",1,6,4,question
794,geo3,con1,"(45, 47) - (---) OK, 152526.15 Available, ?28,979.9685? After loss",1,6,4,question
795,teamGeo,teamGeo,Sedimentologist: Here's the full list of what we've got going,1,6,0,statement
796,teamGeo,teamGeo,Sedimentologist: Gonna blow up your chat real quick,1,6,0,statement
797,teamGeo,teamGeo,"Sedimentologist: (05, 03) - (--+) OK, 281476.14 Available, ?33,777.1368? After loss",1,6,0,statement
798,teamGeo,teamGeo,"Sedimentologist: (07, 11) - (+++) OK, 221352.1 Available, ?115,103.092? After loss",1,6,0,statement
799,con2,geo3,"Did 39, 41 work for y'all",1,6,0,statement
800,teamGeo,teamGeo,"Sedimentologist: (10, 30) - (-++) OK, 104140 Available, ?60,401.2? After loss",1,6,4,question
801,teamGeo,teamGeo,"Sedimentologist: (13, 38) - (---) OK, 81850.5 Available, ?28,647.675? After loss",1,6,4,question
802,teamGeo,teamGeo,"Sedimentologist: (14, 06) - (--+) OK, 229482.96 Available, ?45,896.592? After loss",1,6,0,statement
803,teamGeo,teamGeo,"Sedimentologist: (15, 17) - (---) OK, 30467.05 Available, ?11,882.1495? After loss",1,6,4,question
804,teamGeo,teamGeo,"Sedimentologist: (19, 29) - (+++) OK, 306661.37 Available, ?104,264.8658? After loss",1,6,0,statement
805,teamGeo,teamGeo,"Sedimentologist: (28, 24) - (--+) OK, 67645.7 Available, ?31,117.022? After loss",1,6,1,disruption
806,teamGeo,teamGeo,"Sedimentologist: (29, 18) - (--+) OK, 144983.32 Available, ?24,647.1644? After loss",1,6,4,question
807,teamGeo,teamGeo,"Sedimentologist: (37, 35) - (---) OK, 69740.49 Available, ?25,106.5764? After loss",1,6,4,question
808,teamGeo,teamGeo,"Sedimentologist: (39, 41) - (---) OK, 77047.51 Available, ?51,621.8317? After loss",1,6,4,question
809,teamGeo,teamGeo,"Sedimentologist: (42, 17) - (---) OK, 81356.78 Available, ?23,593.4662? After loss",1,6,4,question
810,teamGeo,teamGeo,"Sedimentologist: (45, 41) - (-++) OK, 218912.05 Available, ?87,564.82? After loss",1,6,0,statement
811,teamGeo,teamGeo,"Sedimentologist: (45, 47) - (---) OK, 152526.15 Available, ?28,979.9685? After loss",1,6,4,question
812,geo1,eng3,Hey 13.38 What do you think?\n,1,6,4,question
813,teamvc,teamEng,"Martian Meteorology Specialist: Sedimentologist here says there is no water there.  (13,38) is looking like a good option.  I told my team about that one, too.  Have you all discussed that point?",2,6,0,statement
814,teamConstr,teamConstr,"Materials Specialist: what do you think on 13,38 ??",2,6,4,question
815,teamvc,teamvc,"Martian Terrain Specialist: We have 1 minute, so we're going with 24,35",2,6,0,statement
816,geo1,geo3,heeeey youuuuu,2,6,2,backchannel
817,geo1,geo3,whats your name?\n,2,6,4,question
818,geo3,con1,16:28 we're waitin' for that good news train. Whatcha got?,2,6,4,question
819,con2,geo3,"We are going with 24, 35 for signoff",2,6,0,statement
820,geo3,con2,"We have a no from the meteorologist and hydrologist. I mean, ya boi the sedimentologist is on board but they're not budging.",2,6,0,statement
821,teamConstr,teamGeo,"Drilling Specialist: We are doing 24,35 and need it to go into signoff",2,6,0,statement
822,teamEng,teamEng,Biochemical Engineer: ok\n,2,6,0,statement
823,teamvc,teamvc,"Martian Meteorology Specialist: Ok...but there's no water there according to the sedimentologist, sooooo not sure why we went with that. \n",2,6,0,statement
824,geo3,con2,"I mean, there's no water at 24, 35 but aight, we'll make it happen I guess",2,6,0,statement
825,teamGeo,teamGeo,"Sedimentologist: I mean, there's no water at 24, 35 but aight, we'll make it happen I guess",2,6,0,statement
826,geo3,con1,"I mean, there's no water at 24, 35 but aight, we'll make it happen I guess",2,6,0,statement
827,teamvc,teamvc,Martian Meteorology Specialist: It's also 3 km in depth according to our materials specialist...very very deep,2,6,0,statement
828,teamConstr,teamConstr,Operations Specialist: not ideal\n,2,6,0,statement
829,teamConstr,teamConstr,"Materials Specialist: 24,35 .. it's really bad for us",2,6,0,statement
830,eng3,con1,"hey we're trying to go with 24, 35. Do you want to put those details in?",2,6,4,question
831,con2,geo3,"So then 13,38 for signoff",2,6,0,statement
832,teamConstr,teamConstr,"Materials Specialist: there is no water .. on the 24,35 !",2,6,0,statement
833,teamGeo,teamConstr,Hydrogeologist: That point doesnt work for us ,2,6,0,statement
834,geo3,con2,Are y'all able to get the point into the system? We can't see it in the signoff just yet.,2,6,4,question
835,teamGeo,teamGeo,Sedimentologist: Are y'all able to get the point into the system? We can't see it in the signoff just yet.,2,6,4,question
836,geo3,con1,Are y'all able to get the point into the system? We can't see it in the signoff just yet.,2,6,4,question
837,teamGeo,teamGeo,"Sedimentologist: Y'all are all in college, right? Is this like part of a class? Or is this something else?",2,6,4,question
838,teamConstr,teamConstr,"Drilling Specialist: We can make 13, 38 work",2,6,0,statement
839,teamConstr,teamConstr,"Operations Specialist: ok we're going with 13,38 now\n",2,6,0,statement
840,con1,eng3,yep theyre in,2,6,0,statement
841,teamGeo,teamGeo,Sedimentologist: Big up to y'all's team from the SIRIUS crew either way. Y'all are killin' it.,2,6,0,statement
842,geo3,con1,"Hey, big up to y'all from the SIRIUS crew. Y'all are killin' it!",2,6,0,statement
843,teamConstr,teamGeo,"Drilling Specialist: 13,38 for signoff\n",2,6,0,statement
844,geo3,con2,YEAAAAAAAAH BOIIIIIIIIIIIIIIIIIIII,2,6,0,statement
845,teamvc,teamvc,"Martian Terrain Specialist: ok then we are going with 13,38",2,6,0,statement
846,teamConstr,teamConstr,"Materials Specialist: 13,38 and signoff",2,6,0,statement
847,teamGeo,teamGeo,Sedimentologist: YEAH BOIIIIIIIIIIIIIII,2,6,0,statement
848,con2,geo3,We thought anyone on the geology team could put the point in,2,6,0,statement
849,con1,geo3,"yeah we're having issues right now but we're going with 13,38",2,6,0,statement
850,teamGeo,teamGeo,Structural Geologist: you should input the location as I cannot due to my technical issues\n,2,6,0,statement
851,geo3,con1,"Ok, who has to get it into the X, Y Cell?",2,6,4,question
852,teamGeo,teamGeo,"Structural Geologist: and yes! we are all in college, we just kinda said we would be interested in this and then got chosen to be a part of the project",2,6,0,statement
853,teamGeo,teamGeo,Structural Geologist: yea you guys need to drag and drop a location from your calculations tab into the signoff sheet,2,6,0,statement
854,geo3,con2,We're trying but it doesn't look like we can. We've never done it before. Didn't even think we had the option.,2,6,0,statement
855,geo3,con2,We always thought that @strucgeo handled that business,2,6,0,statement
856,geo3,con1,Highly elite. It looks like @structgeo is having trouble,2,6,0,statement
